protein, rna
XP_012079962.1, XM_012224572.3
XP_012066132.1, XM_012210742.3
XP_012091410.1, XM_012236020.3
XP_012080267.1, XM_012224877.3
XP_012080275.1, XM_012224885.3
XP_012085696.1, XM_012230306.3
XP_020539031.1, XM_020683372.2
XP_020539032.1, XM_020683373.2
XP_012081415.1, XM_012226025.3
XP_012093120.1, XM_012237730.3
XP_012081364.1, XM_012225974.3
XP_012092649.1, XM_012237259.2
XP_012081830.1, XM_012226440.3
XP_012067823.1, XM_012212433.3
XP_012075061.1, XM_012219671.3
XP_012075062.1, XM_012219672.3
XP_012082994.1, XM_012227604.3
XP_012070199.1, XM_012214809.3
XP_012068724.1, XM_012213334.3
XP_012082743.1, XM_012227353.3
XP_012084506.1, XM_012229116.3
XP_012084511.1, XM_012229121.3
XP_012077950.1, XM_012222560.3
XP_012087189.1, XM_012231799.3
XP_012077156.1, XM_012221766.3
XP_020536618.1, XM_020680959.2
XP_012077114.1, XM_012221724.3
XP_012091120.1, XM_012235730.3
XP_012070918.1, XM_012215528.3
XP_012077365.1, XM_012221975.3
XP_012069453.1, XM_012214063.3
XP_012069061.1, XM_012213671.3
XP_012067812.1, XM_012212422.3
XP_012082742.1, XM_012227352.3
XP_037494408.1, XM_037638480.1
XP_012089210.1, XM_012233820.3
XP_012091088.1, XM_012235698.3
XP_012073808.1, XM_012218418.3
XP_012075399.1, XM_012220009.3
XP_037495690.1, XM_037639762.1
XP_012078247.1, XM_012222857.3
XP_012089922.1, XM_012234532.3
XP_012078714.1, XM_012223324.3
XP_012078715.1, XM_012223325.3
XP_037495009.1, XM_037639081.1
XP_012070466.1, XM_012215076.3
XP_012088317.1, XM_012232927.3
XP_037493060.1, XM_037637132.1
XP_012092942.1, XM_012237552.3
XP_012069078.1, XM_012213688.3
XP_012075315.1, XM_012219925.3
XP_012083757.1, XM_012228367.3
XP_012087890.1, XM_012232500.3
XP_012079298.1, XM_012223908.3
XP_012091377.1, XM_012235987.3
XP_012069401.1, XM_012214011.3
XP_012084851.1, XM_012229461.3
XP_037492143.1, XM_037636215.1
XP_012082529.1, XM_012227139.3
XP_012075838.1, XM_012220448.3
XP_012070016.1, XM_012214626.3
XP_012081750.1, XM_012226360.3
XP_012078124.1, XM_012222734.2
XP_020536899.1, XM_020681240.1
XP_012076907.1, XM_012221517.3
XP_037493083.1, XM_037637155.1
XP_012077322.1, XM_012221932.3
XP_012066256.1, XM_012210866.3
XP_012066257.1, XM_012210867.3
XP_012090363.1, XM_012234973.3
XP_012066975.1, XM_012211585.3
XP_012089278.1, XM_012233888.3
XP_012087125.1, XM_012231735.3
XP_012067200.1, XM_012211810.3
XP_012081424.1, XM_012226034.3
XP_012074919.1, XM_012219529.3
XP_012070914.1, XM_012215524.2
XP_012070917.1, XM_012215527.2
XP_012077125.1, XM_012221735.3
XP_012087929.1, XM_012232539.3
XP_012074056.1, XM_012218666.3
XP_012074915.1, XM_012219525.3
XP_012092246.1, XM_012236856.3
XP_012088435.1, XM_012233045.3
XP_012067360.1, XM_012211970.3
XP_012086698.1, XM_012231308.3
XP_012071835.1, XM_012216445.3
XP_012077453.2, XM_012222063.3
XP_012074254.1, XM_012218864.3
XP_012081186.1, XM_012225796.3
XP_012081040.1, XM_012225650.3
XP_012079660.1, XM_012224270.3
XP_012070306.1, XM_012214916.2
XP_012069644.1, XM_012214254.3
XP_012087140.1, XM_012231750.3
XP_012078331.1, XM_012222941.3
XP_012071573.1, XM_012216183.3
XP_012069760.1, XM_012214370.3
XP_012076122.1, XM_012220732.3
XP_037492144.1, XM_037636216.1
XP_012088715.1, XM_012233325.3
XP_012086779.2, XM_012231389.3
XP_012083603.1, XM_012228213.3
XP_012078761.1, XM_012223371.3
XP_012066997.2, XM_012211607.3
XP_037494768.1, XM_037638840.1
XP_012093109.1, XM_012237719.3
XP_012067541.1, XM_012212151.3
XP_012085216.1, XM_012229826.3
XP_012078827.1, XM_012223437.3
XP_012089056.1, XM_012233666.3
XP_020540391.1, XM_020684732.2
XP_012070467.1, XM_012215077.3
XP_012069488.1, XM_012214098.3
XP_012067700.1, XM_012212310.3
XP_012073604.1, XM_012218214.3
XP_012077784.1, XM_012222394.3
XP_012069513.1, XM_012214123.3
XP_012088970.1, XM_012233580.3
XP_012090916.1, XM_012235526.3
XP_012084370.1, XM_012228980.2
XP_012073146.1, XM_012217756.3
XP_012080673.1, XM_012225283.3
XP_037497361.1, XM_037641433.1
XP_012081077.1, XM_012225687.3
XP_020537790.1, XM_020682131.2
XP_037494883.1, XM_037638955.1
XP_012087447.1, XM_012232057.3
XP_012065152.1, XM_012209762.3
XP_012067740.1, XM_012212350.3
XP_012081754.1, XM_012226364.3
XP_012079888.1, XM_012224498.3
XP_012082881.1, XM_012227491.3
XP_012090167.2, XM_012234777.3
XP_020539854.1, XM_020684195.2
XP_012082958.1, XM_012227568.3
XP_012090187.1, XM_012234797.3
XP_012077929.1, XM_012222539.3
XP_012088093.1, XM_012232703.3
XP_012080830.1, XM_012225440.3
XP_012088354.1, XM_012232964.3
XP_012087675.1, XM_012232285.2
XP_012079227.1, XM_012223837.3
XP_012065516.1, XM_012210126.3
XP_012065517.1, XM_012210127.3
XP_012070797.1, XM_012215407.3
XP_012090344.1, XM_012234954.3
XP_020540807.1, XM_020685148.2
XP_012065509.1, XM_012210119.3
XP_012074655.1, XM_012219265.3
XP_012072162.1, XM_012216772.3
XP_012091403.1, XM_012236013.3
XP_012070273.1, XM_012214883.3
XP_012077049.1, XM_012221659.2
XP_012073996.1, XM_012218606.3
XP_012071789.1, XM_012216399.3
XP_012067810.1, XM_012212420.3
XP_020533651.1, XM_020677992.2
XP_012092940.1, XM_012237550.3
XP_012079906.1, XM_012224516.3
XP_012076990.1, XM_012221600.3
XP_020535623.2, XM_020679964.2
XP_012070761.1, XM_012215371.3
XP_012070720.2, XM_012215330.3
XP_012077030.1, XM_012221640.3
XP_012090445.1, XM_012235055.3
XP_037491402.1, XM_037635474.1
XP_012085333.2, XM_012229943.3
XP_012089158.1, XM_012233768.3
XP_012082506.1, XM_012227116.2
XP_020538225.1, XM_020682566.2
XP_012077416.1, XM_012222026.2
XP_020536393.1, XM_020680734.1
XP_012068578.1, XM_012213188.3
XP_020540674.1, XM_020685015.2
XP_020540675.1, XM_020685016.2
XP_012068596.1, XM_012213206.2
XP_012082698.1, XM_012227308.3
XP_012067696.1, XM_012212306.3
XP_012066067.1, XM_012210677.3
XP_012091851.1, XM_012236461.3
XP_037497728.1, XM_037641800.1
XP_012069615.1, XM_012214225.3
XP_012087359.1, XM_012231969.3
XP_012071664.1, XM_012216274.3
XP_012079356.1, XM_012223966.3
XP_012077459.1, XM_012222069.3
XP_012069334.1, XM_012213944.3
XP_012075480.1, XM_012220090.3
XP_012069843.1, XM_012214453.3
XP_012069845.1, XM_012214455.3
XP_012073817.1, XM_012218427.3
XP_037492160.1, XM_037636232.1
XP_012074451.1, XM_012219061.3
XP_012085604.1, XM_012230214.3
XP_012077650.1, XM_012222260.3
XP_012069866.1, XM_012214476.3
XP_012084128.1, XM_012228738.3
XP_012076250.1, XM_012220860.3
XP_012070367.1, XM_012214977.3
XP_012089358.1, XM_012233968.3
XP_012066984.1, XM_012211594.3
XP_012065092.1, XM_012209702.3
XP_012075043.1, XM_012219653.3
XP_012089421.1, XM_012234031.3
XP_012069884.1, XM_012214494.3
XP_012076400.1, XM_012221010.3
XP_012091168.1, XM_012235778.3
XP_037492700.1, XM_037636772.1
XP_012077450.1, XM_012222060.3
XP_012069489.1, XM_012214099.3
XP_012088063.1, XM_012232673.3
XP_012074943.1, XM_012219553.3
XP_037493293.1, XM_037637365.1
XP_037493296.1, XM_037637368.1
XP_012070308.1, XM_012214918.3
XP_012078299.1, XM_012222909.3
XP_012080393.1, XM_012225003.3
XP_012072492.1, XM_012217102.3
XP_012073858.2, XM_012218468.3
XP_012081377.1, XM_012225987.2
XP_012079731.1, XM_012224341.3
XP_012085746.1, XM_012230356.3
XP_012074208.1, XM_012218818.3
XP_012084952.1, XM_012229562.3
XP_012069747.1, XM_012214357.3
XP_012069748.1, XM_012214358.3
XP_012069749.1, XM_012214359.3
XP_012070274.1, XM_012214884.3
XP_012067498.1, XM_012212108.3
XP_012072246.1, XM_012216856.3
XP_012072247.1, XM_012216857.3
XP_012087617.1, XM_012232227.3
XP_012083989.1, XM_012228599.3
XP_012069110.1, XM_012213720.3
XP_012075125.1, XM_012219735.3
XP_012075222.1, XM_012219832.3
XP_012076119.1, XM_012220729.3
XP_012089766.1, XM_012234376.3
XP_012089767.1, XM_012234377.3
XP_012081122.1, XM_012225732.2
XP_012080384.1, XM_012224994.3
XP_012088040.1, XM_012232650.3
XP_020537017.1, XM_020681358.2
XP_012076395.1, XM_012221005.3
XP_012082768.1, XM_012227378.2
XP_012082925.1, XM_012227535.3
XP_012082687.1, XM_012227297.3
XP_037491899.1, XM_037635971.1
XP_037491590.1, XM_037635662.1
XP_012089699.1, XM_012234309.3
XP_012082309.1, XM_012226919.3
XP_012083234.1, XM_012227844.3
XP_020533601.1, XM_020677942.2
XP_012070439.1, XM_012215049.3
XP_012091512.1, XM_012236122.3
XP_012072383.1, XM_012216993.3
XP_037492560.1, XM_037636632.1
XP_012073020.1, XM_012217630.3
XP_012089990.1, XM_012234600.3
XP_012088359.1, XM_012232969.3
XP_012079452.1, XM_012224062.3
XP_012080050.1, XM_012224660.3
XP_012089966.1, XM_012234576.3
XP_012074764.1, XM_012219374.3
XP_012087387.1, XM_012231997.3
XP_037491004.1, XM_037635076.1
XP_012090203.1, XM_012234813.3
XP_012073491.1, XM_012218101.3
XP_012073990.2, XM_012218600.3
XP_012080204.1, XM_012224814.3
XP_012076129.1, XM_012220739.3
XP_012068099.1, XM_012212709.3
XP_012079986.1, XM_012224596.2
XP_012091525.1, XM_012236135.2
XP_012073270.1, XM_012217880.3
XP_012072653.1, XM_012217263.3
XP_012082019.1, XM_012226629.3
XP_012088979.1, XM_012233589.3
XP_012092659.1, XM_012237269.3
XP_012067491.2, XM_012212101.3
XP_012070910.1, XM_012215520.3
XP_012076334.1, XM_012220944.3
XP_012070759.1, XM_012215369.3
XP_037492537.1, XM_037636609.1
XP_012086155.1, XM_012230765.3
XP_037495279.1, XM_037639351.1
XP_037495280.1, XM_037639352.1
XP_012073579.1, XM_012218189.3
XP_012073580.1, XM_012218190.3
XP_012081907.1, XM_012226517.3
XP_037496349.1, XM_037640421.1
XP_012082389.1, XM_012226999.3
XP_012077321.1, XM_012221931.3
XP_012076658.1, XM_012221268.3
XP_012071632.1, XM_012216242.3
XP_012071572.1, XM_012216182.2
XP_012074679.1, XM_012219289.2
XP_012075164.1, XM_012219774.3
XP_012088663.1, XM_012233273.3
XP_012084592.1, XM_012229202.3
XP_012075951.1, XM_012220561.3
XP_012084507.1, XM_012229117.3
XP_012087833.1, XM_012232443.3
XP_012087840.1, XM_012232450.3
XP_037494167.1, XM_037638239.1
XP_012080452.1, XM_012225062.2
XP_012080453.1, XM_012225063.3
XP_012083019.1, XM_012227629.2
XP_012082889.1, XM_012227499.3
XP_012076483.1, XM_012221093.3
XP_012086160.1, XM_012230770.3
XP_012077566.2, XM_012222176.3
XP_012074628.1, XM_012219238.3
XP_012089926.1, XM_012234536.3
XP_037494293.1, XM_037638365.1
XP_012084447.1, XM_012229057.3
XP_012069629.1, XM_012214239.3
XP_012090161.1, XM_012234771.3
XP_012077434.1, XM_012222044.3
XP_012066968.1, XM_012211578.3
XP_012071009.2, XM_012215619.2
XP_012065968.1, XM_012210578.3
XP_012092895.1, XM_012237505.3
XP_012090356.2, XM_012234966.3
XP_012080041.1, XM_012224651.3
XP_037496082.1, XM_037640154.1
XP_012079930.1, XM_012224540.3
XP_037496995.1, XM_037641067.1
XP_012078293.1, XM_012222903.3
XP_012088768.1, XM_012233378.3
XP_012092955.1, XM_012237565.3
XP_012073128.1, XM_012217738.3
XP_012084337.1, XM_012228947.3
XP_012081325.1, XM_012225935.3
XP_037496920.1, XM_037640992.1
XP_012071446.1, XM_012216056.3
XP_012075808.1, XM_012220418.3
XP_012089582.1, XM_012234192.3
XP_012069326.1, XM_012213936.3
XP_012075098.1, XM_012219708.2
XP_012091626.1, XM_012236236.3
XP_012082473.1, XM_012227083.3
XP_012072806.1, XM_012217416.3
XP_012082261.1, XM_012226871.3
XP_037496122.1, XM_037640194.1
XP_037496123.1, XM_037640195.1
XP_012090448.1, XM_012235058.3
XP_012090842.1, XM_012235452.3
XP_012090843.1, XM_012235453.3
XP_037494649.1, XM_037638721.1
XP_012090287.1, XM_012234897.3
XP_012074321.2, XM_012218931.2
XP_012074322.2, XM_012218932.3
XP_012078336.1, XM_012222946.2
XP_012083011.1, XM_012227621.3
XP_012076348.1, XM_012220958.3
XP_012077918.1, XM_012222528.3
XP_012070511.1, XM_012215121.3
XP_012088468.1, XM_012233078.3
XP_012083508.1, XM_012228118.3
XP_012082655.2, XM_012227265.3
XP_012076536.1, XM_012221146.3
XP_012081601.1, XM_012226211.3
XP_012079913.1, XM_012224523.3
XP_012082092.1, XM_012226702.3
XP_012070352.1, XM_012214962.3
NP_001292941.1, NM_001306012.1
XP_012078082.1, XM_012222692.3
XP_020540076.1, XM_020684417.2
XP_012079984.1, XM_012224594.3
XP_012090350.1, XM_012234960.3
XP_020538086.1, XM_020682427.2
XP_037497082.1, XM_037641154.1
XP_012086280.1, XM_012230890.3
XP_012065010.1, XM_012209620.3
XP_012082570.1, XM_012227180.3
XP_012088301.1, XM_012232911.3
XP_020538336.1, XM_020682677.2
XP_012083722.1, XM_012228332.3
XP_012089106.1, XM_012233716.2
XP_012089107.1, XM_012233717.3
XP_012078240.1, XM_012222850.2
XP_012082985.1, XM_012227595.3
XP_012075666.1, XM_012220276.3
XP_012078889.2, XM_012223499.3
XP_012092050.1, XM_012236660.3
XP_012082068.1, XM_012226678.3
XP_012084508.1, XM_012229118.3
XP_012088959.2, XM_012233569.3
XP_020540356.1, XM_020684697.2
XP_012085776.1, XM_012230386.2
XP_012068215.1, XM_012212825.3
XP_012084876.1, XM_012229486.3
XP_012078662.1, XM_012223272.3
XP_012066332.1, XM_012210942.3
XP_012083911.1, XM_012228521.2
XP_012083971.1, XM_012228581.3
XP_037491381.1, XM_037635453.1
XP_012085052.1, XM_012229662.3
XP_012069528.1, XM_012214138.3
XP_012092308.1, XM_012236918.3
XP_012086473.1, XM_012231083.3
XP_012082544.1, XM_012227154.3
XP_012071146.1, XM_012215756.3
XP_012077199.1, XM_012221809.3
XP_012083502.1, XM_012228112.2
XP_012089691.1, XM_012234301.3
XP_012089692.1, XM_012234302.3
XP_012089471.1, XM_012234081.3
XP_012080958.2, XM_012225568.3
XP_037493019.1, XM_037637091.1
XP_037493028.1, XM_037637100.1
XP_012080279.1, XM_012224889.3
XP_012090761.1, XM_012235371.3
XP_020540820.1, XM_020685161.2
XP_037495378.1, XM_037639450.1
XP_012069562.1, XM_012214172.3
XP_012077248.1, XM_012221858.3
XP_012078893.1, XM_012223503.3
XP_012087741.1, XM_012232351.3
XP_012068567.1, XM_012213177.3
XP_037496614.1, XM_037640686.1
XP_012069407.1, XM_012214017.3
XP_012088144.1, XM_012232754.3
XP_012084826.1, XM_012229436.3
XP_012088495.1, XM_012233105.3
XP_012085217.2, XM_012229827.3
XP_012076838.1, XM_012221448.3
XP_012076839.1, XM_012221449.3
XP_012077463.1, XM_012222073.3
XP_037496870.1, XM_037640942.1
XP_012091719.1, XM_012236329.3
XP_012091323.2, XM_012235933.3
XP_012074544.1, XM_012219154.2
XP_012088474.1, XM_012233084.3
XP_012079408.1, XM_012224018.3
XP_020537253.1, XM_020681594.2
XP_012067605.1, XM_012212215.2
XP_037492503.1, XM_037636575.1
XP_012080925.1, XM_012225535.3
XP_037493523.1, XM_037637595.1
XP_037493524.1, XM_037637596.1
XP_012074540.1, XM_012219150.1
XP_012070787.1, XM_012215397.3
XP_012076451.1, XM_012221061.3
XP_012090566.1, XM_012235176.3
XP_012077953.1, XM_012222563.2
XP_012091462.1, XM_012236072.2
XP_012086681.1, XM_012231291.3
XP_037493890.1, XM_037637962.1
XP_012087540.1, XM_012232150.3
XP_012080812.1, XM_012225422.2
XP_020537705.1, XM_020682046.2
XP_037495155.1, XM_037639227.1
XP_012081882.1, XM_012226492.3
XP_012070617.1, XM_012215227.3
XP_012079025.1, XM_012223635.3
XP_012087739.2, XM_012232349.3
XP_012092644.1, XM_012237254.3
XP_012081771.2, XM_012226381.3
XP_012079146.1, XM_012223756.3
XP_012072091.1, XM_012216701.3
XP_020533553.1, XM_020677894.2
XP_020533555.1, XM_020677896.2
XP_020533556.1, XM_020677897.2
XP_012072583.1, XM_012217193.3
XP_020540886.1, XM_020685227.2
XP_012082097.1, XM_012226707.3
XP_012085073.1, XM_012229683.3
XP_037491981.1, XM_037636053.1
XP_037491982.1, XM_037636054.1
XP_012088693.1, XM_012233303.3
XP_012068558.1, XM_012213168.3
XP_012078036.1, XM_012222646.3
XP_012078677.1, XM_012223287.3
XP_012068784.1, XM_012213394.3
XP_012065349.1, XM_012209959.3
XP_012066857.1, XM_012211467.3
XP_037497894.1, XM_037641966.1
XP_037497895.1, XM_037641967.1
XP_037497896.1, XM_037641968.1
XP_037493531.1, XM_037637603.1
XP_012086818.2, XM_012231428.3
XP_012078408.2, XM_012223018.3
XP_012084392.1, XM_012229002.3
XP_012068206.1, XM_012212816.3
XP_012091980.2, XM_012236590.3
XP_012082028.1, XM_012226638.3
XP_012064841.1, XM_012209451.3
XP_012079179.1, XM_012223789.3
XP_012066690.1, XM_012211300.3
XP_012066692.1, XM_012211302.3
XP_020533275.1, XM_020677616.2
XP_020533276.1, XM_020677617.2
XP_020533277.1, XM_020677618.2
XP_012067545.1, XM_012212155.2
XP_012070551.1, XM_012215161.3
XP_012077078.1, XM_012221688.3
XP_012072181.1, XM_012216791.3
XP_012071016.1, XM_012215626.3
XP_012077267.1, XM_012221877.3
XP_012068740.1, XM_012213350.3
XP_012087417.1, XM_012232027.3
XP_012083005.1, XM_012227615.3
XP_037496303.1, XM_037640375.1
XP_012071918.1, XM_012216528.3
XP_012092004.1, XM_012236614.3
XP_012088341.1, XM_012232951.3
XP_012075676.1, XM_012220286.3
XP_037497766.1, XM_037641838.1
XP_037497767.1, XM_037641839.1
XP_012087120.1, XM_012231730.3
XP_012072475.1, XM_012217085.3
XP_012080702.1, XM_012225312.3
XP_012077435.1, XM_012222045.3
XP_012070725.1, XM_012215335.3
XP_012076268.1, XM_012220878.3
XP_020536327.1, XM_020680668.2
XP_012067357.1, XM_012211967.2
XP_020532804.1, XM_020677145.2
XP_012071430.1, XM_012216040.3
XP_012091049.1, XM_012235659.3
XP_012089057.1, XM_012233667.3
XP_012089246.1, XM_012233856.3
XP_020533334.1, XM_020677675.2
XP_037495493.1, XM_037639565.1
XP_037495494.1, XM_037639566.1
XP_012065463.2, XM_012210073.3
XP_037494440.1, XM_037638512.1
XP_037494441.1, XM_037638513.1
XP_037496814.1, XM_037640886.1
XP_012085161.1, XM_012229771.3
XP_012068209.1, XM_012212819.3
XP_012089197.1, XM_012233807.2
XP_012083538.1, XM_012228148.3
XP_012066183.1, XM_012210793.3
XP_012091133.1, XM_012235743.3
XP_012084328.1, XM_012228938.3
XP_012079830.1, XM_012224440.3
XP_012064759.1, XM_012209369.3
XP_012066168.1, XM_012210778.2
XP_012090818.1, XM_012235428.2
XP_012073000.1, XM_012217610.3
XP_012079465.1, XM_012224075.3
XP_012076673.1, XM_012221283.3
XP_012070233.1, XM_012214843.3
NP_001303280.1, NM_001316351.1
XP_037491639.1, XM_037635711.1
XP_012081660.1, XM_012226270.3
XP_012079884.1, XM_012224494.3
XP_012092307.1, XM_012236917.3
XP_012093311.1, XM_012237921.3
XP_012093312.1, XM_012237922.3
XP_037491593.1, XM_037635665.1
XP_012071708.1, XM_012216318.3
XP_020534765.1, XM_020679106.2
XP_012082424.1, XM_012227034.3
XP_012076531.1, XM_012221141.3
XP_012081919.1, XM_012226529.3
XP_012088076.1, XM_012232686.3
XP_012092418.1, XM_012237028.3
XP_012070833.1, XM_012215443.3
XP_020534549.1, XM_020678890.2
XP_012081779.1, XM_012226389.3
XP_012086539.1, XM_012231149.3
XP_012079417.1, XM_012224027.2
XP_012093132.1, XM_012237742.3
XP_012087586.1, XM_012232196.3
XP_012090285.2, XM_012234895.3
XP_012079839.1, XM_012224449.3
XP_012079293.1, XM_012223903.3
XP_012076842.1, XM_012221452.3
XP_012074162.1, XM_012218772.3
XP_037495794.1, XM_037639866.1
XP_012075333.1, XM_012219943.3
XP_020535083.1, XM_020679424.2
XP_012085627.1, XM_012230237.3
XP_020539274.1, XM_020683615.2
XP_012064660.2, XM_012209270.3
XP_012086666.1, XM_012231276.2
XP_012080160.1, XM_012224770.3
XP_012086209.1, XM_012230819.3
XP_012071894.1, XM_012216504.3
XP_012077066.1, XM_012221676.3
XP_012092984.1, XM_012237594.3
XP_012092665.1, XM_012237275.3
XP_012076913.1, XM_012221523.3
XP_012076260.1, XM_012220870.3
XP_012065012.1, XM_012209622.3
XP_012082781.1, XM_012227391.3
XP_012087931.1, XM_012232541.3
XP_012079461.1, XM_012224071.3
XP_012080479.1, XM_012225089.3
XP_012072301.1, XM_012216911.3
XP_012071370.1, XM_012215980.3
XP_012089674.1, XM_012234284.3
XP_012080364.1, XM_012224974.3
XP_012087873.1, XM_012232483.3
XP_012065612.1, XM_012210222.3
XP_012072638.1, XM_012217248.3
XP_012089738.1, XM_012234348.3
XP_020538137.1, XM_020682478.2
XP_020538139.1, XM_020682480.2
XP_012078462.1, XM_012223072.3
XP_020536953.1, XM_020681294.2
XP_012091261.1, XM_012235871.3
XP_012075188.1, XM_012219798.3
XP_012081046.1, XM_012225656.3
XP_012079311.1, XM_012223921.3
XP_012071753.1, XM_012216363.3
XP_012073133.1, XM_012217743.3
XP_012073134.1, XM_012217744.2
XP_012086037.2, XM_012230647.3
XP_012080219.1, XM_012224829.3
XP_012068676.1, XM_012213286.3
XP_020539688.1, XM_020684029.2
XP_012083311.1, XM_012227921.3
XP_012078596.1, XM_012223206.3
XP_012084679.1, XM_012229289.3
XP_012083084.2, XM_012227694.3
XP_012084514.1, XM_012229124.3
XP_012074146.1, XM_012218756.3
XP_012068167.1, XM_012212777.3
XP_012078214.1, XM_012222824.3
XP_012091502.1, XM_012236112.3
XP_012082725.1, XM_012227335.3
XP_037492549.1, XM_037636621.1
XP_012083560.1, XM_012228170.3
XP_012088876.1, XM_012233486.3
XP_012091564.1, XM_012236174.3
XP_020533593.1, XM_020677934.2
XP_037494994.1, XM_037639066.1
XP_037494995.1, XM_037639067.1
XP_037494996.1, XM_037639068.1
XP_012092996.1, XM_012237606.3
XP_012088038.1, XM_012232648.3
XP_012077058.1, XM_012221668.3
XP_012078825.1, XM_012223435.3
XP_012070167.1, XM_012214777.3
XP_012070168.1, XM_012214778.3
XP_012074449.1, XM_012219059.3
XP_020535682.1, XM_020680023.2
XP_037496663.1, XM_037640735.1
XP_012081429.1, XM_012226039.2
XP_012069764.1, XM_012214374.3
XP_012089314.1, XM_012233924.3
XP_037495895.1, XM_037639967.1
XP_037495896.1, XM_037639968.1
XP_012075410.1, XM_012220020.3
XP_012083689.1, XM_012228299.3
XP_012086154.1, XM_012230764.3
XP_012073569.1, XM_012218179.2
