protein, rna
NP_001327079.1, NM_001338291.1
NP_188374.2, NM_112627.4
NP_001325677.1, NM_001337727.1
NP_187424.1, NM_111646.3
NP_180071.1, NM_128057.3
NP_851100.1, NM_180769.3
NP_192404.1, NM_116733.4
NP_001031919.1, NM_001036842.1
NP_850862.1, NM_180531.4
NP_196258.1, NM_120723.2
NP_567446.1, NM_117573.2
NP_193287.1, NM_117642.4
NP_567494.1, NM_117736.3
NP_194120.1, NM_118521.3
NP_568988.2, NM_125821.5
NP_177149.2, NM_105659.3
NP_001327595.1, NM_001338152.1
NP_188147.1, NM_112392.4
NP_565139.1, NM_106323.4
NP_566804.3, NM_113607.4
NP_001030679.1, NM_001035602.3
NP_565835.1, NM_129173.3
NP_182208.1, NM_130252.3
NP_001332453.1, NM_001344886.1
NP_199841.2, NM_124409.4
NP_191277.5, NM_115578.5
NP_568342.1, NM_121723.5
NP_001119457.1, NM_001125985.1
NP_200634.1, NM_125211.4
NP_001318600.1, NM_001343610.1
NP_197455.1, NM_121959.3
NP_568200.1, NM_120940.3
NP_568122.2, NM_120436.4
NP_001329347.1, NM_001341043.1
NP_567465.1, NM_117631.3
NP_567641.1, NM_118317.4
NP_200302.1, NM_124873.3
NP_001077502.1, NM_001084033.2
NP_563872.1, NM_100927.4
NP_564430.1, NM_103101.4
NP_172011.1, NM_100397.3
NP_173946.1, NM_102386.2
NP_564283.1, NM_102507.3
NP_171696.2, NM_100074.4
NP_564691.1, NM_104423.4
NP_172370.3, NM_100767.6
NP_178098.1, NM_106629.2
NP_564793.2, NM_104914.2
NP_188767.2, NM_113025.4
NP_001327307.1, NM_001338424.1
NP_188621.2, NM_112877.3
NP_188076.1, NM_112318.2
NP_187268.2, NM_111492.5
NP_190938.1, NM_115230.3
NP_189412.1, NM_113691.2
NP_001154722.1, NM_001161250.1
NP_197494.1, NM_122001.3
NP_193279.1, NM_117633.3
NP_567780.1, NM_118896.3
NP_200090.1, NM_124656.3
NP_569029.1, NM_126010.3
NP_851279.1, NM_180948.2
NP_568764.1, NM_124551.5
NP_199832.1, NM_124400.3
NP_199027.1, NM_123577.2
NP_176370.2, NM_104859.3
NP_565087.1, NM_106122.3
NP_177587.1, NM_106107.3
NP_176482.1, NM_104972.3
NP_565316.1, NM_126517.3
NP_188597.1, NM_112853.5
NP_201242.2, NM_125833.5
NP_566745.1, NM_113324.5
NP_181084.1, NM_129093.4
NP_850429.1, NM_180098.3
NP_199351.2, NM_123906.5
NP_001326785.1, NM_001338967.1
NP_189514.1, NM_113793.3
NP_189194.1, NM_113465.4
NP_568178.1, NM_120784.4
NP_196040.1, NM_120502.3
NP_199650.3, NM_124214.7
NP_197110.1, NM_121611.5
NP_001329284.1, NM_001340696.1
NP_567372.1, NM_117164.2
NP_197591.1, NM_122099.4
NP_001332342.1, NM_001343688.1
NP_568402.1, NM_122092.3
NP_568150.1, NM_120602.5
NP_194405.1, NM_118809.5
NP_567908.1, NM_119444.4
NP_195162.2, NM_119601.4
NP_001319203.1, NM_001333520.1
NP_173958.1, NM_102398.3
NP_563668.1, NM_100168.3
NP_172203.2, NM_100597.4
NP_175852.1, NM_104328.4
NP_180191.1, NM_128180.5
NP_001321728.1, NM_001333285.1
NP_175220.2, NM_103682.4
NP_564142.1, NM_101999.3
NP_001117484.1, NM_001124012.1
NP_564640.2, NM_104245.4
NP_564152.1, NM_102028.3
NP_564880.1, NM_105338.4
NP_564939.1, NM_105540.2
NP_001031233.1, NM_001036156.2
NP_001185312.1, NM_001198383.1
NP_564840.1, NM_105151.4
NP_179684.1, NM_127657.4
NP_565462.1, NM_127560.4
NP_188488.1, NM_112744.3
NP_188773.1, NM_113031.2
NP_566619.1, NM_112766.2
NP_566021.1, NM_130028.3
NP_181349.1, NM_129370.5
NP_190581.1, NM_114872.3
NP_190584.1, NM_114875.3
NP_190586.1, NM_114877.3
NP_567273.1, NM_116725.5
NP_197367.1, NM_121871.3
NP_197034.2, NM_121534.3
NP_196000.2, NM_120461.4
NP_196855.1, NM_121354.2
NP_193468.2, NM_117841.4
NP_568045.1, NM_120025.3
NP_193587.4, NM_117966.5
NP_194688.1, NM_119104.4
NP_195022.1, NM_119450.4
NP_200424.1, NM_124995.5
NP_568765.1, NM_124554.3
NP_180481.1, NM_128474.4
NP_177348.1, NM_105861.4
NP_564801.1, NM_104952.2
NP_179236.3, NM_127197.5
NP_187436.1, NM_111658.4
NP_001327591.1, NM_001337817.1
NP_001327592.1, NM_001337818.1
NP_187554.2, NM_111777.4
NP_200333.2, NM_124904.5
NP_180214.1, NM_128203.2
NP_001325264.1, NM_001336685.1
NP_850290.1, NM_179959.4
NP_200555.1, NM_125128.5
NP_565866.1, NM_129314.3
NP_191873.1, NM_116179.5
NP_567038.1, NM_115507.4
NP_566797.1, NM_113582.5
NP_001078372.1, NM_001084903.1
NP_192830.1, NM_117160.4
NP_196950.2, NM_121450.3
NP_001190290.1, NM_001203361.1
NP_001330519.1, NM_001343195.1
NP_196710.1, NM_121187.4
NP_196273.3, NM_120738.5
NP_196962.1, NM_121462.4
NP_199007.1, NM_123557.4
NP_195371.1, NM_119816.5
NP_849507.1, NM_179176.2
NP_198911.1, NM_123460.5
NP_193221.3, NM_117571.5
NP_193989.1, NM_118384.5
NP_001031804.1, NM_001036727.3
NP_567858.1, NM_119231.3
NP_568626.1, NM_123733.2
NP_564110.1, NM_101881.3
NP_564300.1, NM_102580.4
NP_175268.1, NM_103731.6
NP_171704.2, NM_100082.4
NP_973737.1, NM_202008.2
NP_173131.1, NM_101548.6
NP_174703.1, NM_103166.4
NP_001332069.1, NM_001345321.1
NP_200684.2, NM_125263.5
NP_564560.1, NM_103884.4
NP_172202.1, NM_100596.4
NP_563701.1, NM_100292.2
NP_563649.1, NM_100114.5
NP_564672.2, NM_104373.2
NP_564687.1, NM_104413.4
NP_849810.1, NM_179479.3
NP_564544.1, NM_103828.3
NP_001154334.1, NM_001160862.1
NP_001154335.1, NM_001160863.1
NP_563935.1, NM_101265.4
NP_001322656.1, NM_001334727.1
NP_177766.1, NM_106289.4
NP_564875.2, NM_105314.5
NP_188517.1, NM_112773.3
NP_187213.1, NM_111435.2
NP_001030628.1, NM_001035551.2
NP_566192.1, NM_111180.5
NP_179254.2, NM_127215.5
NP_178983.1, NM_126939.2
NP_178532.2, NM_126484.5
NP_189158.3, NM_113427.5
NP_188864.1, NM_113123.2
NP_180056.1, NM_128042.4
NP_001325245.1, NM_001337000.1
NP_181820.1, NM_129853.6
NP_191499.1, NM_115802.4
NP_565301.1, NM_126393.3
NP_191085.1, NM_115383.3
NP_001078259.1, NM_001084790.1
NP_190419.3, NM_114708.5
NP_001190656.1, NM_001203727.2
NP_192116.1, NM_116438.2
NP_196072.1, NM_120534.2
NP_849284.1, NM_178953.3
NP_197790.1, NM_122307.3
NP_198679.1, NM_123224.3
NP_198700.2, NM_123245.4
NP_194371.2, NM_118774.4
NP_567800.1, NM_118961.4
NP_195251.1, NM_119691.4
NP_195417.1, NM_119863.4
NP_568689.1, NM_124176.3
NP_568814.2, NM_124870.4
NP_568767.2, NM_124567.5
NP_568614.1, NM_123650.3
NP_974872.1, NM_203143.2
NP_199470.1, NM_124028.3
NP_181009.1, NM_129016.4
NP_176371.1, NM_104860.5
NP_564843.1, NM_105163.4
NP_177879.3, NM_106404.6
NP_565207.1, NM_106587.4
NP_565100.1, NM_106165.3
NP_177080.3, NM_105587.6
NP_001321038.1, NM_001334626.1
NP_565079.1, NM_106067.3
NP_568725.1, NM_124412.3
NP_001325800.1, NM_001337433.1
NP_186925.4, NM_111144.6
NP_566499.1, NM_112370.4
NP_186829.3, NM_111046.4
NP_566137.1, NM_111010.3
NP_178674.7, NM_126631.7
NP_199956.1, NM_124522.4
NP_565556.1, NM_127930.2
NP_850163.1, NM_179832.2
NP_565909.1, NM_129523.4
NP_850319.1, NM_179988.1
NP_190882.1, NM_115174.2
NP_567906.1, NM_119430.5
NP_567700.1, NM_118570.3
NP_194257.1, NM_118659.2
NP_194884.1, NM_119305.4
NP_171799.2, NM_100181.5
NP_172856.1, NM_101269.2
NP_173559.1, NM_101989.5
NP_973877.1, NM_202148.2
NP_564333.1, NM_102709.4
NP_173134.2, NM_101551.4
NP_172029.2, NM_100416.4
NP_173078.1, NM_101494.2
NP_175137.1, NM_103597.5
NP_849778.1, NM_179447.2
NP_174675.2, NM_103136.4
NP_564429.1, NM_103100.5
NP_174479.1, NM_102933.3
NP_173675.1, NM_102108.4
NP_171937.1, NM_100322.5
NP_177698.1, NM_106220.4
NP_001185372.1, NM_001198443.1
NP_177320.1, NM_105833.4
NP_176933.1, NM_105433.3
NP_176936.1, NM_105436.4
NP_189034.1, NM_113297.3
NP_566728.1, NM_113243.4
NP_566568.1, NM_112593.3
NP_001327597.1, NM_001338149.1
NP_188130.1, NM_112375.3
NP_187019.1, NM_111240.2
NP_001325637.1, NM_001337528.1
NP_187096.2, NM_111317.4
NP_001323560.1, NM_001336579.1
NP_001323561.1, NM_001336580.1
NP_181134.1, NM_129149.4
NP_181041.1, NM_129048.3
NP_565645.1, NM_128288.4
NP_181487.1, NM_129513.4
NP_565765.1, NM_128905.3
NP_001318286.1, NM_001335965.1
NP_191188.1, NM_115487.4
NP_566886.2, NM_114545.3
NP_001318651.1, NM_001343944.1
NP_197398.1, NM_121902.4
NP_850827.1, NM_180496.5
NP_001190205.1, NM_001203276.1
NP_195847.1, NM_120305.3
NP_568092.4, NM_120237.6
NP_197265.1, NM_121769.4
NP_196652.1, NM_121129.4
NP_196422.1, NM_120887.5
NP_001078414.1, NM_001084945.2
NP_001078415.1, NM_001084946.1
NP_195458.1, NM_119905.2
NP_567930.1, NM_119520.4
NP_199596.1, NM_124159.3
NP_001078698.1, NM_001085229.1
NP_199142.1, NM_123694.4
NP_200219.1, NM_124787.4
NP_851187.1, NM_180856.4
NP_568798.1, NM_124756.4
NP_568629.1, NM_123742.3
NP_564842.1, NM_105162.3
NP_565246.1, NM_106734.2
NP_849916.2, NM_179585.4
NP_001320476.1, NM_001334481.1
NP_177239.1, NM_105750.4
NP_188408.1, NM_112662.4
NP_188298.3, NM_112549.3
NP_851004.1, NM_180673.2
NP_566541.1, NM_112500.3
NP_179484.1, NM_127451.2
NP_201291.1, NM_125884.4
NP_001324215.1, NM_001336116.1
NP_565650.1, NM_128305.2
NP_850101.1, NM_179770.1
NP_179748.2, NM_127725.5
NP_566113.1, NM_130358.4
NP_973713.1, NM_201984.2
NP_180551.1, NM_128544.4
NP_565917.2, NM_129549.4
NP_565937.1, NM_129627.3
NP_565578.1, NM_128045.3
NP_001325829.1, NM_001340179.1
NP_567133.1, NM_116146.4
NP_001327489.1, NM_001340155.1
NP_191795.1, NM_116101.3
NP_191851.1, NM_116157.4
NP_001190367.1, NM_001203438.2
NP_001330610.1, NM_001343746.1
NP_197656.2, NM_122170.3
NP_001190299.1, NM_001203370.1
NP_196816.1, NM_121315.3
NP_195803.1, NM_120261.4
NP_195927.2, NM_120385.4
NP_001118908.1, NM_001125436.2
NP_001331057.1, NM_001343528.1
NP_568358.1, NM_121793.3
NP_197312.1, NM_121816.2
NP_198226.1, NM_122757.4
NP_197618.1, NM_122131.2
NP_001119224.1, NM_001125752.1
NP_568299.1, NM_121436.5
NP_196311.1, NM_120776.2
NP_192999.1, NM_117332.3
NP_567440.1, NM_117553.2
NP_194552.1, NM_118963.4
NP_195217.1, NM_119657.3
NP_001332344.1, NM_001345566.1
NP_201098.1, NM_125687.3
NP_001322717.1, NM_001331574.1
NP_172066.3, NM_100455.3
NP_001117264.1, NM_001123792.1
NP_001323336.1, NM_001331932.1
NP_563879.1, NM_100959.5
NP_001321310.1, NM_001333761.1
NP_564708.1, NM_104487.4
NP_563821.2, NM_100725.4
NP_200065.1, NM_124631.4
NP_563820.1, NM_100723.4
NP_001078722.1, NM_001085253.1
NP_199496.1, NM_124055.4
NP_565091.1, NM_106131.4
NP_564443.1, NM_103149.4
NP_564289.1, NM_102517.5
NP_173006.1, NM_101422.1
NP_172585.1, NM_100991.2
NP_175685.1, NM_104154.4
NP_174458.2, NM_102912.5
NP_001322477.1, NM_001332684.1
NP_173930.1, NM_102370.4
NP_172387.1, NM_100784.4
NP_171963.1, NM_100349.4
NP_565054.1, NM_105964.5
NP_001327599.1, NM_001337358.1
NP_186827.2, NM_111044.4
NP_188137.1, NM_112382.4
NP_001327408.1, NM_001338151.1
NP_188134.2, NM_112379.6
NP_181706.2, NM_129739.4
NP_180921.1, NM_128923.5
NP_850176.1, NM_179845.4
NP_565518.1, NM_127751.3
NP_001318369.1, NM_001336619.1
NP_001324499.1, NM_001336620.1
NP_565857.2, NM_129258.4
NP_001323743.1, NM_001336031.1
NP_565614.1, NM_128155.3
NP_850063.1, NM_179732.4
NP_850064.1, NM_179733.1
NP_001324448.1, NM_001335917.1
NP_179990.1, NM_127974.1
NP_850047.1, NM_179716.3
NP_566996.1, NM_115286.3
NP_566962.1, NM_115082.3
NP_190766.1, NM_115057.4
NP_566792.1, NM_113548.5
NP_565298.2, NM_126371.3
NP_191224.1, NM_115524.3
NP_191141.1, NM_115440.3
NP_190767.1, NM_115058.3
NP_189852.2, NM_114133.2
NP_192078.1, NM_116399.4
NP_849283.1, NM_178952.2
NP_001190655.1, NM_001203726.1
NP_192115.1, NM_116437.3
NP_680219.1, NM_147914.4
NP_001078578.1, NM_001085109.1
NP_196867.1, NM_121366.4
NP_001318543.1, NM_001343206.1
NP_196723.1, NM_121200.4
NP_001331307.1, NM_001343675.1
NP_197559.1, NM_122066.4
NP_001119328.1, NM_001125856.1
NP_198622.1, NM_123166.3
NP_567990.1, NM_119751.3
NP_568050.1, NM_120061.2
NP_566709.1, NM_113143.3
NP_567447.1, NM_117576.3
NP_194305.1, NM_118707.2
NP_200098.1, NM_124664.3
NP_567905.1, NM_119428.5
NP_200733.2, NM_125315.5
NP_200382.1, NM_124953.1
NP_199380.1, NM_123935.5
NP_200108.1, NM_124674.4
NP_199993.1, NM_124559.3
NP_199840.2, NM_124408.4
NP_199839.1, NM_124407.2
NP_176841.1, NM_105339.4
NP_177871.1, NM_106396.5
NP_176711.1, NM_105206.3
NP_177513.2, NM_106031.4
NP_001031307.1, NM_001036230.1
NP_178161.1, NM_106694.4
NP_177448.1, NM_105963.1
NP_001327085.1, NM_001337435.1
NP_186931.2, NM_111150.4
NP_001189521.1, NM_001202592.1
NP_178812.1, NM_126771.6
NP_188109.1, NM_112353.4
NP_566609.1, NM_112727.2
NP_001327213.1, NM_001338371.1
NP_188523.1, NM_112779.5
NP_974336.1, NM_202607.2
NP_565805.1, NM_129102.4
NP_180936.1, NM_128939.4
NP_565747.1, NM_128819.4
NP_565655.1, NM_128318.4
NP_190915.1, NM_115207.5
NP_850693.1, NM_180362.4
NP_191501.1, NM_115804.4
NP_190327.1, NM_114611.4
NP_001154682.1, NM_001161210.1
NP_567068.1, NM_115714.4
NP_191713.1, NM_116019.3
NP_196345.1, NM_120810.3
NP_568167.1, NM_120720.4
NP_680660.3, NM_148294.4
NP_001190653.1, NM_001203724.1
NP_001328302.1, NM_001340335.1
NP_192089.1, NM_116410.2
NP_001331209.1, NM_001343132.1
NP_196631.1, NM_121108.1
NP_001329322.1, NM_001340520.1
NP_567275.1, NM_116732.3
NP_001119012.1, NM_001125540.1
NP_193650.2, NM_118034.3
NP_195312.1, NM_119753.3
NP_001320097.1, NM_001342051.1
NP_194830.2, NM_119251.5
NP_198818.1, NM_123365.4
NP_194953.1, NM_119378.4
NP_001327887.1, NM_001338643.1
NP_188991.1, NM_113252.4
NP_568723.1, NM_124410.4
NP_563929.1, NM_101208.3
NP_172346.1, NM_100743.4
NP_174998.1, NM_103458.3
NP_563993.1, NM_101487.5
NP_568965.1, NM_125708.3
NP_199995.1, NM_124561.3
NP_173934.2, NM_102374.4
NP_001319376.1, NM_001334597.1
NP_564049.1, NM_101684.4
NP_973779.1, NM_202050.2
NP_001154311.1, NM_001160839.1
NP_172144.3, NM_100536.4
NP_171861.1, NM_100244.3
NP_001190642.1, NM_001203713.2
NP_171717.2, NM_100095.4
NP_564667.1, NM_104353.3
NP_001319163.1, NM_001333231.1
NP_175092.1, NM_103552.4
NP_973971.1, NM_202242.2
NP_174454.2, NM_102908.3
NP_174327.1, NM_102775.4
NP_001319102.1, NM_001332827.1
NP_174195.1, NM_102641.2
NP_173816.2, NM_102252.5
NP_172791.1, NM_101204.3
NP_565024.1, NM_105836.4
NP_176576.1, NM_105066.3
NP_176702.2, NM_105196.5
NP_564748.1, NM_104653.4
NP_566764.1, NM_113437.3
NP_189086.1, NM_113350.3
NP_001319621.1, NM_001338606.1
NP_001327177.1, NM_001338607.1
NP_188938.1, NM_113198.3
NP_188777.1, NM_113035.3
NP_187341.1, NM_111565.6
NP_850527.1, NM_180196.3
NP_189149.2, NM_113417.3
NP_187263.1, NM_111487.3
NP_001189776.1, NM_001202847.1
NP_566122.1, NM_130374.4
NP_850484.1, NM_180153.2
NP_565982.1, NM_129836.3
NP_181196.1, NM_129213.3
NP_180839.2, NM_128840.3
NP_001189608.1, NM_001202679.1
NP_565620.2, NM_128191.4
NP_001078064.1, NM_001084595.3
NP_001118872.1, NM_001125400.2
NP_566953.1, NM_115020.4
NP_191099.1, NM_115397.3
NP_191045.2, NM_115342.5
NP_001190027.1, NM_001203098.1
NP_001327109.1, NM_001339311.1
NP_001327110.1, NM_001339312.1
NP_001327111.1, NM_001339313.1
NP_001327112.1, NM_001339314.1
NP_190333.1, NM_114617.4
NP_974393.1, NM_202664.2
NP_190328.1, NM_114612.4
NP_189420.1, NM_113698.4
NP_197423.1, NM_121927.3
NP_001330277.1, NM_001343226.1
NP_568256.1, NM_121236.2
NP_568205.6, NM_120955.8
NP_196301.2, NM_120766.4
NP_197731.1, NM_122246.3
NP_001331861.1, NM_001343690.1
NP_568406.2, NM_122102.3
NP_197368.1, NM_121872.3
NP_197092.1, NM_121593.5
NP_568563.1, NM_123283.5
NP_193511.2, NM_117885.5
NP_001190860.1, NM_001203931.1
NP_567814.1, NM_119008.4
NP_001328427.1, NM_001341965.1
NP_194662.2, NM_119078.5
NP_567901.1, NM_119421.5
NP_195662.1, NM_120112.4
NP_567745.1, NM_118770.3
NP_194549.1, NM_118960.3
NP_195093.1, NM_119525.6
NP_569028.1, NM_126007.4
NP_201554.1, NM_126153.4
NP_200682.1, NM_125261.5
NP_001190557.1, NM_001203628.2
NP_200527.1, NM_125099.4
NP_200184.1, NM_124752.4
NP_199777.1, NM_124344.3
NP_201256.2, NM_125847.4
NP_568813.1, NM_124867.4
NP_200294.1, NM_124864.5
NP_568749.1, NM_124480.3
NP_001185349.1, NM_001198420.1
NP_001320607.1, NM_001334339.1
NP_176968.1, NM_105471.4
NP_564781.1, NM_104844.3
NP_001322828.1, NM_001334165.1
NP_176632.1, NM_105126.4
NP_001185389.1, NM_001198460.1
NP_565055.1, NM_105967.2
NP_187958.1, NM_112195.3
NP_566180.1, NM_111137.4
NP_186833.1, NM_111050.2
NP_001031452.1, NM_001036375.3
NP_001189647.1, NM_001202718.1
NP_180664.2, NM_128661.3
NP_565969.1, NM_129784.3
NP_001324935.1, NM_001336422.1
NP_180869.1, NM_128870.4
NP_179694.2, NM_127667.4
NP_179935.1, NM_127918.4
NP_001031481.1, NM_001036404.1
NP_180994.1, NM_128999.3
NP_001078212.1, NM_001084743.3
NP_189443.2, NM_113722.3
NP_191408.1, NM_115711.4
NP_189221.1, NM_113496.5
NP_189146.1, NM_113414.3
NP_001331796.1, NM_001343786.1
NP_197695.1, NM_122210.5
NP_001331232.1, NM_001343271.1
NP_196843.1, NM_121342.4
NP_680211.1, NM_147906.5
NP_197240.1, NM_121744.4
NP_193073.1, NM_117411.2
NP_191971.1, NM_116287.4
NP_195298.2, NM_119739.4
NP_567950.1, NM_119564.5
NP_180571.3, NM_128565.5
NP_194505.2, NM_118914.3
NP_194087.1, NM_118487.4
NP_849349.1, NM_179018.1
NP_195357.2, NM_119802.3
NP_001328609.1, NM_001342307.1
NP_567971.1, NM_119651.4
NP_001117365.1, NM_001123893.2
NP_001322436.1, NM_001331899.1
NP_563868.1, NM_100912.3
NP_563925.1, NM_101196.3
NP_568922.1, NM_125447.2
NP_001321756.1, NM_001332802.1
NP_564301.1, NM_102581.4
NP_176088.2, NM_104572.4
NP_175247.1, NM_103709.4
NP_564402.1, NM_102979.2
NP_564074.1, NM_101772.4
NP_973861.1, NM_202132.2
NP_564354.1, NM_102773.3
NP_568828.1, NM_124946.4
NP_200456.1, NM_125028.1
NP_172596.1, NM_101002.2
NP_176001.2, NM_104483.3
NP_175264.3, NM_103727.5
NP_174083.1, NM_102527.5
NP_564272.1, NM_102482.4
NP_177512.1, NM_106030.2
NP_177267.2, NM_105780.4
NP_564905.1, NM_105441.3
NP_176466.1, NM_104956.5
NP_001077895.1, NM_001084426.1
NP_565383.1, NM_127149.4
NP_001318198.1, NM_001335263.1
NP_671778.1, NM_147245.2
NP_680222.1, NM_147917.4
NP_680223.1, NM_147918.5
NP_188704.1, NM_112959.3
NP_188133.2, NM_112378.3
NP_566431.1, NM_112100.1
NP_566359.1, NM_111820.3
NP_566333.1, NM_111708.4
NP_187186.5, NM_111408.7
NP_566238.1, NM_111350.3
NP_179164.1, NM_127123.3
NP_179441.1, NM_127407.4
NP_189109.1, NM_113377.4
NP_001189869.1, NM_001202940.2
NP_566421.1, NM_112070.4
NP_187146.2, NM_111367.3
NP_566044.1, NM_130114.4
NP_181864.1, NM_129897.4
NP_001324723.1, NM_001336857.1
NP_001324724.1, NM_001336858.1
NP_565939.1, NM_129631.3
NP_001118478.1, NM_001125006.1
NP_030524.1, NM_129536.5
NP_190423.2, NM_114712.3
NP_190263.1, NM_114546.4
NP_567084.1, NM_115800.6
NP_001190112.1, NM_001203183.1
NP_191253.1, NM_115553.4
NP_190825.2, NM_115117.3
NP_190540.1, NM_114831.1
NP_001327785.1, NM_001339021.1
NP_189576.1, NM_113855.2
NP_568338.2, NM_121681.4
NP_196984.1, NM_121484.5
NP_001078566.1, NM_001085097.1
NP_001190277.1, NM_001203348.1
NP_196610.2, NM_121086.5
NP_001190219.1, NM_001203290.1
NP_196006.1, NM_120467.4
NP_192207.1, NM_116532.3
NP_567364.1, NM_117130.2
NP_196814.1, NM_121313.5
NP_196261.1, NM_120726.3
NP_001031826.1, NM_001036749.4
NP_190196.1, NM_114479.5
NP_567889.1, NM_119371.3
NP_001329916.1, NM_001342353.1
NP_195274.1, NM_119714.4
NP_198704.2, NM_123249.3
NP_193580.1, NM_117958.2
NP_194428.2, NM_118832.4
NP_179269.1, NM_127230.4
NP_195231.1, NM_119671.3
NP_001078502.4, NM_001085033.4
NP_195383.1, NM_119828.6
NP_201558.3, NM_126157.4
NP_001032145.1, NM_001037068.1
NP_201316.1, NM_125910.6
NP_201210.1, NM_125801.4
NP_200031.1, NM_124597.5
NP_199850.1, NM_124421.2
NP_201523.1, NM_126122.4
NP_200470.1, NM_125042.4
NP_200422.1, NM_124993.1
NP_190654.1, NM_114945.3
NP_199767.1, NM_124334.2
NP_199059.1, NM_123609.4
NP_565198.1, NM_106556.2
NP_564901.1, NM_105428.4
NP_001077854.1, NM_001084385.1
NP_565236.1, NM_106678.3
NP_176636.1, NM_105130.4
NP_177623.1, NM_106143.3
NP_177388.2, NM_105903.4
NP_177667.1, NM_106187.4
NP_001031339.1, NM_001036262.1
NP_001077883.1, NM_001084414.1
NP_027726.1, NM_126596.4
NP_973428.1, NM_201699.2
NP_566611.1, NM_112733.3
NP_189046.1, NM_113309.4
NP_001324728.1, NM_001335638.1
NP_179546.2, NM_127514.4
NP_001327308.1, NM_001338150.1
NP_566502.1, NM_112377.2
NP_001324474.1, NM_001336188.1
NP_180445.1, NM_128438.3
NP_182281.1, NM_130327.4
NP_190981.1, NM_115273.4
NP_001154669.1, NM_001161197.2
NP_178487.1, NM_126439.4
NP_849932.1, NM_179601.1
NP_565274.1, NM_126229.4
NP_001118245.1, NM_001124773.1
NP_178217.3, NM_126169.4
NP_192703.1, NM_117033.3
NP_196416.1, NM_120881.3
NP_187506.1, NM_111728.5
NP_195773.1, NM_120231.4
NP_196876.1, NM_121375.5
NP_192771.1, NM_117101.4
NP_195794.1, NM_120252.2
NP_001331101.1, NM_001344316.1
NP_198832.1, NM_123380.3
NP_567417.1, NM_117475.4
NP_001190797.1, NM_001203868.2
NP_001329457.1, NM_001341535.1
NP_193961.3, NM_118356.4
NP_194716.1, NM_119133.2
NP_849986.1, NM_179655.2
NP_849987.1, NM_179656.3
NP_568647.1, NM_123927.4
NP_201530.1, NM_126129.4
NP_001321062.1, NM_001333337.1
NP_175279.1, NM_103742.3
NP_001319207.1, NM_001333550.1
NP_175660.2, NM_104129.4
NP_001320719.1, NM_001333085.1
NP_174673.3, NM_103134.4
NP_564065.1, NM_101742.4
NP_849613.1, NM_179282.2
NP_001184971.1, NM_001198042.1
NP_563900.1, NM_101095.4
NP_563629.1, NM_100033.3
NP_001117240.1, NM_001123768.1
NP_001154316.1, NM_001160844.1
NP_172182.2, NM_100574.5
NP_173153.1, NM_101570.4
NP_001184881.1, NM_001197952.1
NP_171612.1, NM_099986.4
NP_177324.2, NM_105837.4
NP_175963.1, NM_104443.2
NP_564492.1, NM_103574.4
NP_564490.1, NM_103560.3
NP_563886.1, NM_100996.3
NP_171790.1, NM_100172.3
NP_171699.1, NM_100077.4
NP_176032.2, NM_104515.4
