protein, rna
XP_010663545.1, XM_010665243.2
XP_010663546.1, XM_010665244.2
XP_002281930.1, XM_002281894.3
XP_002282019.1, XM_002281983.3
XP_010661521.1, XM_010663219.2
XP_002274703.1, XM_002274667.3
XP_010653932.1, XM_010655630.2
XP_002275188.2, XM_002275152.4
XP_002275876.3, XM_002275840.4
XP_002280972.1, XM_002280936.3
XP_002268157.1, XM_002268121.4
XP_019078314.1, XM_019222769.1
XP_002264940.2, XM_002264904.3
XP_002273297.1, XM_002273261.4
XP_002274769.1, XM_002274733.3
XP_002278373.1, XM_002278337.4
XP_002268027.1, XM_002267991.4
XP_002278194.1, XM_002278158.3
XP_002279657.2, XM_002279621.4
XP_002271276.1, XM_002271240.3
XP_002264458.1, XM_002264422.2
XP_002274583.1, XM_002274547.3
XP_002285744.1, XM_002285708.4
XP_003633638.1, XM_003633590.3
XP_002284122.2, XM_002284086.3
XP_002267221.2, XM_002267185.4
XP_002276511.3, XM_002276475.3
XP_010654554.1, XM_010656252.2
XP_002267684.1, XM_002267648.3
XP_002280143.1, XM_002280107.4
XP_002272943.1, XM_002272907.4
XP_003632859.1, XM_003632811.3
XP_002282879.1, XM_002282843.4
NP_001268011.1, NM_001281082.1
XP_002271653.1, XM_002271617.4
XP_002274943.1, XM_002274907.4
NP_001268092.1, NM_001281163.1
XP_002269624.1, XM_002269588.3
XP_002276849.2, XM_002276813.4
XP_002263711.1, XM_002263675.3
XP_002265115.2, XM_002265079.4
XP_002284929.1, XM_002284893.3
XP_002284906.1, XM_002284870.3
XP_010655977.1, XM_010657675.2
XP_002262661.3, XM_002262625.4
XP_002265287.1, XM_002265251.3
XP_002268313.1, XM_002268277.4
XP_010650257.1, XM_010651955.2
XP_002279685.1, XM_002279649.3
XP_010661352.1, XM_010663050.2
XP_002263043.1, XM_002263007.4
XP_010665449.1, XM_010667147.2
XP_002277137.1, XM_002277101.3
XP_002278150.1, XM_002278114.4
XP_002266585.2, XM_002266549.4
XP_002283757.1, XM_002283721.3
XP_010645307.2, XM_010647005.2
XP_002283503.1, XM_002283467.3
XP_002265404.1, XM_002265368.3
XP_002282370.1, XM_002282334.3
XP_002282393.1, XM_002282357.3
XP_002273803.1, XM_002273767.3
XP_002275465.1, XM_002275429.4
XP_002277187.1, XM_002277151.3
XP_002283798.1, XM_002283762.4
XP_010648493.1, XM_010650191.2
XP_002281086.1, XM_002281050.4
XP_010654599.1, XM_010656297.2
XP_002264175.1, XM_002264139.4
XP_002265366.1, XM_002265330.3
XP_002278413.1, XM_002278377.3
XP_010650909.1, XM_010652607.2
XP_002276406.1, XM_002276370.3
NP_001267899.1, NM_001280970.1
NP_001267834.1, NM_001280905.1
XP_002277983.1, XM_002277947.3
XP_002285647.1, XM_002285611.4
XP_002285859.1, XM_002285823.3
XP_002271649.1, XM_002271613.4
XP_003633138.1, XM_003633090.3
XP_002282103.1, XM_002282067.3
XP_002284728.1, XM_002284692.3
XP_010657262.1, XM_010658960.2
XP_002280611.1, XM_002280575.4
XP_002270678.1, XM_002270642.3
XP_002283642.1, XM_002283606.4
XP_002282764.2, XM_002282728.4
XP_002265990.1, XM_002265954.3
XP_002274396.3, XM_002274360.4
XP_002278393.1, XM_002278357.3
XP_002264460.2, XM_002264424.4
XP_002276628.1, XM_002276592.3
XP_002283796.2, XM_002283760.4
XP_002277923.1, XM_002277887.3
XP_002281167.1, XM_002281131.4
XP_010646536.1, XM_010648234.2
XP_019073741.1, XM_019218196.1
XP_002277761.1, XM_002277725.4
XP_010664278.1, XM_010665976.2
XP_002282381.1, XM_002282345.4
XP_002277081.1, XM_002277045.3
XP_010644635.1, XM_010646333.2
XP_019072983.1, XM_019217438.1
XP_002270958.1, XM_002270922.3
XP_002283174.1, XM_002283138.4
XP_010665376.2, XM_010667074.2
XP_019071767.1, XM_019216222.1
XP_002264221.2, XM_002264185.4
XP_002274534.1, XM_002274498.3
XP_002272703.1, XM_002272667.3
XP_019077341.1, XM_019221796.1
XP_002277545.1, XM_002277509.4
XP_002274576.1, XM_002274540.4
XP_002277660.1, XM_002277624.4
XP_002271128.1, XM_002271092.3
XP_010654300.2, XM_010655998.2
XP_002275066.1, XM_002275030.3
XP_002270641.1, XM_002270605.4
XP_002276522.1, XM_002276486.2
XP_002266998.2, XM_002266962.3
XP_019072217.1, XM_019216672.1
XP_002272379.1, XM_002272343.3
XP_002284239.1, XM_002284203.3
XP_002269129.1, XM_002269093.4
XP_010660886.1, XM_010662584.2
XP_003631733.1, XM_003631685.3
XP_002266355.2, XM_002266319.4
XP_002270270.1, XM_002270234.4
XP_002282622.1, XM_002282586.3
XP_002267390.1, XM_002267354.4
XP_003631437.1, XM_003631389.3
XP_002285884.1, XM_002285848.3
XP_002273237.1, XM_002273201.4
XP_002284161.1, XM_002284125.3
XP_002284756.1, XM_002284720.3
XP_002270985.1, XM_002270949.3
XP_002270819.1, XM_002270783.4
XP_002274671.2, XM_002274635.4
XP_002271596.1, XM_002271560.4
XP_002271286.1, XM_002271250.3
XP_002279214.1, XM_002279178.4
XP_002264383.1, XM_002264347.4
XP_010644819.1, XM_010646517.1
XP_003632132.1, XM_003632084.3
XP_010652423.1, XM_010654121.2
XP_002280535.1, XM_002280499.4
XP_010652312.1, XM_010654010.2
XP_010652313.1, XM_010654011.2
XP_010652314.1, XM_010654012.2
XP_002284549.1, XM_002284513.4
XP_002276941.2, XM_002276905.4
XP_002281077.1, XM_002281041.3
XP_002266670.1, XM_002266634.4
XP_019076629.1, XM_019221084.1
XP_019076630.1, XM_019221085.1
XP_002274236.1, XM_002274200.3
XP_002274388.1, XM_002274352.3
XP_003631646.1, XM_003631598.3
XP_010659655.2, XM_010661353.2
XP_002276966.1, XM_002276930.3
XP_002276017.1, XM_002275981.3
XP_002264325.1, XM_002264289.3
XP_002277241.1, XM_002277205.4
XP_002283378.1, XM_002283342.3
XP_002266304.1, XM_002266268.4
XP_002285580.1, XM_002285544.4
XP_002279693.1, XM_002279657.3
XP_002265252.1, XM_002265216.3
XP_002272012.1, XM_002271976.3
XP_019077021.1, XM_019221476.1
XP_002274527.1, XM_002274491.4
XP_002279352.1, XM_002279316.3
XP_002275930.1, XM_002275894.3
XP_010658683.1, XM_010660381.2
XP_010658684.1, XM_010660382.2
XP_019080000.1, XM_019224455.1
XP_019080001.1, XM_019224456.1
XP_002279323.1, XM_002279287.3
XP_002273527.1, XM_002273491.4
XP_002283161.1, XM_002283125.3
XP_002278556.2, XM_002278520.4
XP_019076099.1, XM_019220554.1
XP_002274325.3, XM_002274289.4
XP_002278811.1, XM_002278775.4
XP_002277744.1, XM_002277708.4
XP_002264792.1, XM_002264756.3
XP_002278523.2, XM_002278487.3
XP_002263622.1, XM_002263586.4
XP_010662336.1, XM_010664034.2
XP_002265835.1, XM_002265799.3
XP_002278451.1, XM_002278415.4
XP_003633033.1, XM_003632985.3
XP_002267539.1, XM_002267503.3
XP_002265200.1, XM_002265164.4
XP_002278055.2, XM_002278019.4
XP_019078657.1, XM_019223112.1
XP_002266781.1, XM_002266745.4
XP_002281773.1, XM_002281737.3
XP_002273674.2, XM_002273638.4
XP_010649953.1, XM_010651651.2
XP_002273001.3, XM_002272965.3
XP_002262701.1, XM_002262665.4
XP_010645856.1, XM_010647554.2
XP_002282870.1, XM_002282834.4
XP_002263449.1, XM_002263413.4
XP_002282744.1, XM_002282708.4
XP_002279485.2, XM_002279449.4
XP_002267657.1, XM_002267621.4
XP_002265860.1, XM_002265824.4
XP_002275177.1, XM_002275141.3
XP_002263867.1, XM_002263831.3
XP_002283725.1, XM_002283689.4
XP_002264566.1, XM_002264530.3
XP_002281424.1, XM_002281388.4
XP_002267749.1, XM_002267713.3
XP_002263650.1, XM_002263614.3
XP_002268521.1, XM_002268485.3
XP_010652050.1, XM_010653748.2
XP_010652051.1, XM_010653749.2
XP_002267249.1, XM_002267213.3
XP_019076644.1, XM_019221099.1
XP_002262900.1, XM_002262864.3
XP_010664893.1, XM_010666591.2
XP_002264038.2, XM_002264002.4
XP_010655591.1, XM_010657289.2
XP_002285438.1, XM_002285402.4
XP_002282170.1, XM_002282134.3
XP_002263207.2, XM_002263171.4
XP_002284724.1, XM_002284688.3
XP_002269119.2, XM_002269083.4
XP_002280799.1, XM_002280763.3
XP_002274688.1, XM_002274652.4
XP_002273003.1, XM_002272967.3
XP_010650093.1, XM_010651791.2
XP_019075245.1, XM_019219700.1
XP_002276528.2, XM_002276492.3
XP_002263568.1, XM_002263532.4
XP_010655145.1, XM_010656843.2
XP_002285569.1, XM_002285533.3
XP_003632025.2, XM_003631977.3
XP_002285326.1, XM_002285290.4
XP_002273724.1, XM_002273688.3
XP_010644166.1, XM_010645864.2
XP_002270685.2, XM_002270649.3
XP_002264983.1, XM_002264947.4
XP_002264531.1, XM_002264495.4
XP_002273828.1, XM_002273792.3
XP_010651851.1, XM_010653549.2
XP_002278609.1, XM_002278573.3
XP_002285387.1, XM_002285351.3
XP_010648770.1, XM_010650468.1
XP_002279538.1, XM_002279502.3
XP_019076105.1, XM_019220560.1
XP_019074817.1, XM_019219272.1
XP_002277418.1, XM_002277382.3
XP_003634726.1, XM_003634678.3
XP_010644455.1, XM_010646153.2
XP_002281168.1, XM_002281132.3
XP_010659723.1, XM_010661421.2
XP_002268305.1, XM_002268269.4
XP_019077384.1, XM_019221839.1
XP_002264736.2, XM_002264700.4
XP_002283626.1, XM_002283590.3
XP_002265727.3, XM_002265691.3
XP_003632994.1, XM_003632946.3
XP_019072089.1, XM_019216544.1
XP_010645168.1, XM_010646866.2
XP_002280064.2, XM_002280028.4
XP_002265340.1, XM_002265304.4
XP_002285298.2, XM_002285262.3
XP_019072713.1, XM_019217168.1
XP_002282332.2, XM_002282296.4
XP_002280020.1, XM_002279984.4
XP_002276769.1, XM_002276733.4
XP_002265564.1, XM_002265528.3
XP_019077911.1, XM_019222366.1
XP_002280911.1, XM_002280875.3
XP_002283095.1, XM_002283059.3
XP_010663719.1, XM_010665417.2
XP_010649572.1, XM_010651270.2
XP_002278786.1, XM_002278750.4
XP_010654635.1, XM_010656333.2
XP_002267263.1, XM_002267227.3
XP_002276109.2, XM_002276073.3
XP_002274913.1, XM_002274877.4
XP_002273249.1, XM_002273213.4
XP_002268060.1, XM_002268024.4
XP_010663237.1, XM_010664935.2
XP_002276243.1, XM_002276207.3
XP_002283131.1, XM_002283095.4
XP_002285576.1, XM_002285540.3
XP_002268744.1, XM_002268708.4
XP_002271147.1, XM_002271111.4
XP_002267360.1, XM_002267324.3
XP_002270926.1, XM_002270890.3
XP_002265030.2, XM_002264994.4
XP_002266747.1, XM_002266711.4
XP_002279724.1, XM_002279688.3
XP_002281157.1, XM_002281121.3
XP_010652377.1, XM_010654075.2
XP_002281697.1, XM_002281661.4
XP_019073989.1, XM_019218444.1
XP_002281717.1, XM_002281681.3
XP_019078278.1, XM_019222733.1
XP_002285833.1, XM_002285797.2
XP_002283010.2, XM_002282974.4
XP_010651248.1, XM_010652946.2
XP_019076232.1, XM_019220687.1
XP_002271315.1, XM_002271279.4
XP_002273641.3, XM_002273605.4
XP_003635393.2, XM_003635345.3
XP_003635571.3, XM_003635523.3
XP_002282452.1, XM_002282416.4
XP_002274209.2, XM_002274173.4
XP_002267391.1, XM_002267355.3
XP_002266045.2, XM_002266009.4
XP_010651832.1, XM_010653530.1
XP_002272741.1, XM_002272705.4
XP_002265702.1, XM_002265666.3
XP_002277589.1, XM_002277553.4
XP_002271953.1, XM_002271917.3
XP_002270238.2, XM_002270202.4
XP_002285581.1, XM_002285545.4
XP_010663101.1, XM_010664799.2
XP_002269205.1, XM_002269169.3
XP_002285258.1, XM_002285222.4
XP_002281271.1, XM_002281235.4
XP_002281301.1, XM_002281265.4
XP_010659658.1, XM_010661356.2
XP_002285645.1, XM_002285609.3
XP_002264352.1, XM_002264316.4
XP_019077875.1, XM_019222330.1
XP_019077876.1, XM_019222331.1
XP_002263932.1, XM_002263896.3
XP_002285149.1, XM_002285113.4
XP_002281589.2, XM_002281553.4
XP_002278498.1, XM_002278462.4
XP_002275214.1, XM_002275178.3
XP_010664006.1, XM_010665704.2
XP_002276208.1, XM_002276172.3
XP_002269075.1, XM_002269039.3
XP_002281908.2, XM_002281872.4
XP_002277123.1, XM_002277087.4
XP_002284793.1, XM_002284757.3
XP_002274639.2, XM_002274603.4
XP_002264584.1, XM_002264548.4
XP_002267813.1, XM_002267777.4
XP_002269148.1, XM_002269112.3
XP_002269488.1, XM_002269452.4
XP_002269010.2, XM_002268974.4
XP_010657763.1, XM_010659461.2
XP_002271199.1, XM_002271163.4
XP_002264056.1, XM_002264020.3
XP_002272802.1, XM_002272766.3
XP_010664223.1, XM_010665921.2
XP_019076972.1, XM_019221427.1
XP_002279437.1, XM_002279401.3
XP_002271281.1, XM_002271245.3
XP_002273412.2, XM_002273376.4
XP_002273793.1, XM_002273757.4
XP_002276329.1, XM_002276293.4
XP_002285410.1, XM_002285374.3
NP_001268078.1, NM_001281149.1
XP_002281202.1, XM_002281166.3
XP_002268396.1, XM_002268360.3
XP_002271418.1, XM_002271382.3
XP_010660359.1, XM_010662057.2
XP_010660361.1, XM_010662059.2
XP_002270990.1, XM_002270954.4
XP_002275280.1, XM_002275244.4
XP_002282465.1, XM_002282429.4
XP_002276766.1, XM_002276730.4
XP_019074718.1, XM_019219173.1
XP_002280634.1, XM_002280598.3
XP_002267869.1, XM_002267833.4
XP_002272628.1, XM_002272592.3
XP_002265174.1, XM_002265138.3
XP_010662347.1, XM_010664045.2
XP_002282273.2, XM_002282237.4
XP_010663057.1, XM_010664755.2
XP_019082196.1, XM_019226651.1
XP_002280298.1, XM_002280262.3
XP_010660372.1, XM_010662070.2
XP_002285868.1, XM_002285832.4
XP_002279210.1, XM_002279174.4
XP_002281533.1, XM_002281497.3
XP_002273367.1, XM_002273331.3
XP_002277531.1, XM_002277495.3
XP_002272919.1, XM_002272883.3
XP_010654643.1, XM_010656341.2
XP_002263791.1, XM_002263755.3
XP_002285458.1, XM_002285422.4
XP_010644117.1, XM_010645815.2
XP_003631345.1, XM_003631297.3
XP_002281140.2, XM_002281104.4
XP_002277265.1, XM_002277229.3
XP_002274092.3, XM_002274056.4
XP_010647373.1, XM_010649071.1
XP_019074209.1, XM_019218664.1
XP_002266748.1, XM_002266712.3
XP_002274661.1, XM_002274625.3
XP_010653453.1, XM_010655151.2
XP_002264936.1, XM_002264900.4
XP_002267934.1, XM_002267898.3
XP_002281091.1, XM_002281055.3
XP_002275513.1, XM_002275477.3
XP_002273978.2, XM_002273942.3
XP_002266364.1, XM_002266328.4
XP_002285888.1, XM_002285852.3
XP_010652336.1, XM_010654034.2
XP_002280461.1, XM_002280425.3
XP_002269448.1, XM_002269412.2
XP_010654252.1, XM_010655950.2
XP_002263861.1, XM_002263825.4
XP_019074015.1, XM_019218470.1
XP_002272563.1, XM_002272527.3
XP_010660983.1, XM_010662681.2
XP_019075060.1, XM_019219515.1
XP_002285393.1, XM_002285357.4
XP_002276501.1, XM_002276465.3
XP_002282642.1, XM_002282606.4
XP_002267364.1, XM_002267328.4
XP_003634336.3, XM_003634288.3
XP_002279494.2, XM_002279458.4
XP_002280825.1, XM_002280789.3
XP_002263813.1, XM_002263777.3
XP_019081735.1, XM_019226190.1
XP_010648027.1, XM_010649725.2
XP_019072729.1, XM_019217184.1
XP_002282611.1, XM_002282575.4
XP_002284138.1, XM_002284102.3
XP_002283275.2, XM_002283239.4
XP_002267085.1, XM_002267049.3
XP_002278060.1, XM_002278024.4
XP_002270492.1, XM_002270456.4
XP_002284939.1, XM_002284903.3
XP_002285857.1, XM_002285821.3
XP_010644481.1, XM_010646179.2
XP_002280687.1, XM_002280651.4
XP_010661258.1, XM_010662956.2
XP_002269008.1, XM_002268972.3
XP_002279040.1, XM_002279004.3
XP_002264853.1, XM_002264817.4
XP_002278707.2, XM_002278671.3
XP_002277168.1, XM_002277132.4
XP_002285336.2, XM_002285300.4
XP_010664508.1, XM_010666206.2
XP_002263684.2, XM_002263648.4
XP_002281353.1, XM_002281317.4
XP_002265210.1, XM_002265174.4
XP_002272645.1, XM_002272609.3
XP_010649580.1, XM_010651278.2
XP_002265382.2, XM_002265346.4
XP_002277678.1, XM_002277642.3
XP_019075473.1, XM_019219928.1
XP_002273337.1, XM_002273301.4
XP_002281976.1, XM_002281940.3
XP_002283857.1, XM_002283821.3
XP_002266619.1, XM_002266583.3
XP_002281444.2, XM_002281408.3
XP_002278537.1, XM_002278501.2
XP_002270471.1, XM_002270435.4
XP_002283841.1, XM_002283805.2
XP_002270524.1, XM_002270488.3
XP_002284877.1, XM_002284841.3
XP_010662433.1, XM_010664131.2
XP_002277200.1, XM_002277164.4
XP_002281069.1, XM_002281033.4
XP_002279909.2, XM_002279873.4
XP_019075173.1, XM_019219628.1
XP_010652944.1, XM_010654642.2
XP_010653907.1, XM_010655605.2
XP_002267653.2, XM_002267617.3
XP_002276937.1, XM_002276901.3
XP_002276777.1, XM_002276741.3
XP_002282956.1, XM_002282920.3
XP_002280011.3, XM_002279975.4
XP_002277302.1, XM_002277266.3
XP_010663275.1, XM_010664973.2
XP_019080202.1, XM_019224657.1
XP_002271666.1, XM_002271630.4
XP_002275238.1, XM_002275202.4
XP_010648294.1, XM_010649992.2
XP_002284484.1, XM_002284448.4
XP_002279867.1, XM_002279831.3
XP_010652861.1, XM_010654559.2
XP_002285757.1, XM_002285721.4
XP_002272817.1, XM_002272781.3
NP_001267942.1, NM_001281013.1
XP_002277779.1, XM_002277743.3
XP_002276839.2, XM_002276803.4
XP_010652704.1, XM_010654402.2
XP_002274773.1, XM_002274737.3
XP_002264373.1, XM_002264337.4
NP_001267966.1, NM_001281037.1
XP_019072382.1, XM_019216837.1
XP_019074596.1, XM_019219051.1
XP_002281236.1, XM_002281200.3
XP_002285293.1, XM_002285257.3
XP_002284699.1, XM_002284663.3
XP_002279281.1, XM_002279245.4
XP_019074661.1, XM_019219116.1
XP_002272953.1, XM_002272917.3
XP_010646367.1, XM_010648065.2
XP_002264340.1, XM_002264304.3
XP_002273701.1, XM_002273665.4
XP_002285737.1, XM_002285701.4
XP_002263956.1, XM_002263920.3
XP_019080817.1, XM_019225272.1
XP_019080818.1, XM_019225273.1
XP_019080819.1, XM_019225274.1
XP_002278771.1, XM_002278735.3
XP_002278312.1, XM_002278276.4
XP_002274474.1, XM_002274438.3
XP_010646889.1, XM_010648587.2
XP_010646891.1, XM_010648589.2
XP_019074223.1, XM_019218678.1
XP_003632456.1, XM_003632408.3
XP_002276305.1, XM_002276269.3
XP_010660692.1, XM_010662390.2
XP_002265846.1, XM_002265810.4
XP_002281162.1, XM_002281126.3
XP_002279311.2, XM_002279275.4
XP_002283893.1, XM_002283857.3
XP_002270846.1, XM_002270810.4
XP_002268217.1, XM_002268181.3
XP_002269925.1, XM_002269889.4
XP_002266004.1, XM_002265968.4
XP_002281524.1, XM_002281488.3
XP_002269224.1, XM_002269188.3
XP_010661739.1, XM_010663437.2
XP_003635213.2, XM_003635165.2
XP_003635529.1, XM_003635481.3
XP_002282267.2, XM_002282231.4
XP_010647744.1, XM_010649442.2
XP_002278434.1, XM_002278398.3
XP_002275469.2, XM_002275433.3
XP_010658407.1, XM_010660105.2
XP_002274814.1, XM_002274778.3
XP_002276653.1, XM_002276617.3
XP_002283353.1, XM_002283317.3
XP_019071738.1, XM_019216193.1
XP_010652701.1, XM_010654399.2
XP_002281658.1, XM_002281622.4
XP_002285095.1, XM_002285059.4
XP_002263375.1, XM_002263339.3
XP_010657970.1, XM_010659668.2
XP_010657971.1, XM_010659669.2
NP_001268197.1, NM_001281268.1
XP_002278359.2, XM_002278323.3
XP_010663632.1, XM_010665330.2
XP_002277343.1, XM_002277307.3
XP_002280109.1, XM_002280073.3
XP_002266574.1, XM_002266538.3
XP_002279110.1, XM_002279074.4
XP_002272111.2, XM_002272075.3
XP_019073163.1, XM_019217618.1
XP_002269074.1, XM_002269038.4
XP_010645005.1, XM_010646703.2
XP_002269582.1, XM_002269546.3
XP_010652545.1, XM_010654243.2
XP_002281098.1, XM_002281062.3
XP_002271877.2, XM_002271841.3
XP_002272784.1, XM_002272748.3
XP_002280363.3, XM_002280327.4
XP_002285316.1, XM_002285280.4
XP_002264554.1, XM_002264518.4
XP_002284884.1, XM_002284848.4
XP_002270988.3, XM_002270952.4
XP_002284115.1, XM_002284079.3
XP_002280047.1, XM_002280011.4
XP_010644170.1, XM_010645868.2
XP_003633576.1, XM_003633528.3
XP_002265219.2, XM_002265183.4
XP_002267558.1, XM_002267522.4
XP_002284554.2, XM_002284518.4
XP_002278320.1, XM_002278284.3
XP_010659894.1, XM_010661592.2
NP_001268194.1, NM_001281265.1
XP_002271291.1, XM_002271255.4
XP_010652466.1, XM_010654164.2
XP_002283336.1, XM_002283300.4
XP_010664505.1, XM_010666203.2
XP_002274439.1, XM_002274403.3
XP_002275558.3, XM_002275522.4
XP_002263125.1, XM_002263089.3
XP_002275322.2, XM_002275286.3
XP_010646091.1, XM_010647789.2
XP_010647483.1, XM_010649181.2
XP_002283817.1, XM_002283781.4
XP_002280428.1, XM_002280392.4
XP_002264387.1, XM_002264351.4
XP_002283892.1, XM_002283856.3
XP_002282116.1, XM_002282080.3
XP_002268807.2, XM_002268771.4
XP_010656333.1, XM_010658031.2
XP_002272675.1, XM_002272639.3
XP_003632728.1, XM_003632680.3
XP_002269096.1, XM_002269060.4
XP_002279452.1, XM_002279416.3
NP_001268026.1, NM_001281097.1
XP_010652024.1, XM_010653722.2
XP_002285660.1, XM_002285624.3
XP_002267300.2, XM_002267264.4
XP_003631358.1, XM_003631310.3
XP_010656901.1, XM_010658599.2
XP_010664597.1, XM_010666295.2
XP_010653612.1, XM_010655310.2
XP_002282750.1, XM_002282714.3
XP_019076423.1, XM_019220878.1
XP_002278111.1, XM_002278075.3
XP_002273121.1, XM_002273085.3
XP_002279971.1, XM_002279935.4
XP_002278931.1, XM_002278895.3
XP_002267728.1, XM_002267692.4
XP_010647242.1, XM_010648940.2
XP_010647458.1, XM_010649156.1
XP_002269650.3, XM_002269614.4
XP_002283154.1, XM_002283118.2
XP_002273881.1, XM_002273845.3
XP_002280013.1, XM_002279977.4
XP_002283225.1, XM_002283189.4
XP_002283473.1, XM_002283437.3
XP_002268897.1, XM_002268861.3
XP_002266868.1, XM_002266832.4
XP_010646436.1, XM_010648134.1
XP_003634521.1, XM_003634473.3
XP_002271727.1, XM_002271691.4
XP_010655338.1, XM_010657036.2
XP_002280907.1, XM_002280871.3
XP_002263179.1, XM_002263143.4
XP_002280557.1, XM_002280521.3
XP_010654385.1, XM_010656083.2
XP_002281919.1, XM_002281883.4
XP_002277806.1, XM_002277770.4
XP_010656105.1, XM_010657803.2
XP_019078564.1, XM_019223019.1
XP_002275327.1, XM_002275291.4
XP_019082156.1, XM_019226611.1
XP_002282998.1, XM_002282962.3
XP_002282302.1, XM_002282266.4
XP_002282697.1, XM_002282661.3
XP_019072970.1, XM_019217425.1
XP_002281193.1, XM_002281157.4
XP_002270248.1, XM_002270212.4
XP_002277594.1, XM_002277558.3
XP_010647313.1, XM_010649011.2
XP_010647375.1, XM_010649073.2
XP_019074173.1, XM_019218628.1
XP_002267463.2, XM_002267427.4
XP_002284902.1, XM_002284866.4
XP_002276310.1, XM_002276274.3
XP_002274963.1, XM_002274927.4
NP_001267916.1, NM_001280987.1
XP_002284151.1, XM_002284115.4
XP_002279834.1, XM_002279798.3
XP_002274669.1, XM_002274633.4
XP_002264424.1, XM_002264388.3
XP_003632589.1, XM_003632541.3
XP_002275234.1, XM_002275198.3
XP_010660955.1, XM_010662653.2
XP_002269192.1, XM_002269156.4
XP_003635432.2, XM_003635384.3
XP_002265583.1, XM_002265547.4
XP_019080543.1, XM_019224998.1
XP_002283580.1, XM_002283544.3
XP_002283812.1, XM_002283776.4
XP_010664631.1, XM_010666329.2
XP_002263706.2, XM_002263670.4
XP_002263569.3, XM_002263533.4
XP_002273275.1, XM_002273239.3
XP_002264402.1, XM_002264366.4
XP_002266734.2, XM_002266698.4
XP_003631434.1, XM_003631386.3
XP_003631436.1, XM_003631388.3
XP_019073124.1, XM_019217579.1
XP_010661808.1, XM_010663506.2
XP_002277781.1, XM_002277745.3
XP_002266519.1, XM_002266483.3
XP_010661522.1, XM_010663220.2
XP_002265135.1, XM_002265099.4
XP_002264233.2, XM_002264197.4
XP_002285461.1, XM_002285425.2
XP_019072327.1, XM_019216782.1
XP_002285846.1, XM_002285810.3
XP_003635000.1, XM_003634952.3
XP_019073573.1, XM_019218028.1
XP_002263425.1, XM_002263389.4
XP_010652169.1, XM_010653867.2
XP_002273719.2, XM_002273683.2
XP_019080945.1, XM_019225400.1
