protein, rna
XP_008360755.2, XM_008362533.2
XP_008388201.1, XM_008389979.3
XP_008340394.2, XM_008342172.3
XP_008371109.2, XM_008372887.3
XP_008384063.2, XM_008385841.3
XP_008353235.2, XM_008355013.3
XP_008390783.2, XM_008392561.2
XP_008348079.2, XM_008349857.3
XP_008386565.2, XM_008388343.3
XP_008346170.3, XM_008347948.3
XP_008382862.1, XM_008384640.3
XP_008369445.2, XM_008371223.3
XP_008346341.2, XM_008348119.3
XP_008349254.1, XM_008351032.3
XP_008361557.2, XM_008363335.3
XP_008337695.2, XM_008339473.3
XP_008377917.2, XM_008379695.3
XP_008384625.1, XM_008386403.3
XP_028955332.1, XM_029099499.1
XP_008354210.1, XM_008355988.3
XP_008349598.2, XM_008351376.3
XP_008356849.1, XM_008358627.3
XP_008380852.1, XM_008382630.3
XP_008369531.1, XM_008371309.3
XP_008382318.2, XM_008384096.3
XP_028953910.1, XM_029098077.1
XP_028965390.1, XM_029109557.1
XP_008379977.2, XM_008381755.3
XP_028952962.1, XM_029097129.1
XP_008369886.2, XM_008371664.3
XP_028945414.1, XM_029089581.1
XP_008385838.2, XM_008387616.3
XP_008337800.2, XM_008339578.3
XP_008391901.2, XM_008393679.3
XP_008388118.2, XM_008389896.3
XP_028957071.1, XM_029101238.1
XP_028952464.1, XM_029096631.1
XP_008369878.2, XM_008371656.3
XP_028946450.1, XM_029090617.1
XP_028946451.1, XM_029090618.1
XP_028946452.1, XM_029090619.1
XP_008386496.1, XM_008388274.3
XP_008392503.1, XM_008394281.3
XP_008347980.2, XM_008349758.3
XP_008353364.1, XM_008355142.3
XP_008341766.1, XM_008343544.3
XP_008361284.1, XM_008363062.3
XP_028952990.1, XM_029097157.1
XP_008357418.2, XM_008359196.3
XP_008393896.2, XM_008395674.3
XP_008387150.2, XM_008388928.3
XP_028946220.1, XM_029090387.1
XP_008341437.2, XM_008343215.3
NP_001315770.1, NM_001328841.1
XP_008342299.1, XM_008344077.3
XP_008338075.1, XM_008339853.3
XP_008362105.2, XM_008363883.3
XP_008379103.2, XM_008380881.3
XP_008390906.1, XM_008392684.3
XP_008379198.2, XM_008380976.3
XP_008381155.2, XM_008382933.3
XP_008394165.1, XM_008395943.3
XP_028966164.1, XM_029110331.1
XP_008388605.2, XM_008390383.3
XP_008364922.2, XM_008366700.3
XP_008387903.1, XM_008389681.3
XP_008390210.1, XM_008391988.3
XP_008369568.1, XM_008371346.3
XP_008390247.2, XM_008392025.3
XP_008372717.2, XM_008374495.3
XP_008354673.2, XM_008356451.3
XP_008384721.2, XM_008386499.3
XP_008381007.2, XM_008382785.3
XP_008382012.2, XM_008383790.3
XP_028965295.1, XM_029109462.1
XP_008384805.2, XM_008386583.3
XP_008364437.2, XM_008366215.2
XP_008382224.1, XM_008384002.2
XP_008355051.2, XM_008356829.3
XP_008356216.1, XM_008357994.3
XP_008382710.2, XM_008384488.3
XP_008343229.1, XM_008345007.2
XP_008370480.2, XM_008372258.3
XP_017191920.2, XM_017336431.2
XP_028948346.1, XM_029092513.1
XP_028948347.1, XM_029092514.1
XP_008356996.1, XM_008358774.3
XP_008356997.1, XM_008358775.3
XP_008362089.1, XM_008363867.3
XP_008352974.2, XM_008354752.3
XP_028947061.1, XM_029091228.1
XP_008373390.1, XM_008375168.3
NP_001281027.1, NM_001294098.1
XP_008378129.2, XM_008379907.2
XP_008356998.1, XM_008358776.3
XP_008370416.1, XM_008372194.3
XP_008388514.1, XM_008390292.3
XP_008357069.1, XM_008358847.3
XP_008362819.1, XM_008364597.3
XP_008372886.2, XM_008374664.3
XP_008359551.2, XM_008361329.3
XP_028960947.1, XM_029105114.1
XP_028960948.1, XM_029105115.1
XP_008379715.1, XM_008381493.3
XP_008382582.2, XM_008384360.3
XP_028959485.1, XM_029103652.1
XP_008378366.3, XM_008380144.3
XP_028953596.1, XM_029097763.1
XP_008377483.2, XM_008379261.3
XP_008380208.2, XM_008381986.3
XP_008369135.1, XM_008370913.3
XP_008352966.2, XM_008354744.3
XP_017182636.2, XM_017327147.2
XP_008341463.2, XM_008343241.3
XP_008392844.2, XM_008394622.3
XP_028956286.1, XM_029100453.1
XP_028955949.1, XM_029100116.1
XP_008343191.3, XM_008344969.3
XP_008376630.1, XM_008378408.3
XP_008380065.2, XM_008381843.3
XP_008341861.1, XM_008343639.3
XP_008379502.1, XM_008381280.3
XP_008357804.2, XM_008359582.3
XP_008384350.2, XM_008386128.3
XP_008379901.3, XM_008381679.3
XP_017186849.2, XM_017331360.2
XP_008338312.2, XM_008340090.3
XP_008350053.1, XM_008351831.3
XP_028944755.1, XM_029088922.1
XP_028944757.1, XM_029088924.1
XP_008376952.2, XM_008378730.3
XP_008364705.2, XM_008366483.3
XP_008341068.2, XM_008342846.3
XP_008373550.2, XM_008375328.3
XP_017187844.1, XM_017332355.2
XP_008345830.1, XM_008347608.3
XP_008349292.1, XM_008351070.3
XP_008349293.1, XM_008351071.3
XP_028943409.1, XM_029087576.1
XP_028943410.1, XM_029087577.1
XP_008376940.2, XM_008378718.3
XP_008337849.1, XM_008339627.3
XP_008371962.2, XM_008373740.3
XP_008383209.1, XM_008384987.3
XP_008377430.2, XM_008379208.3
XP_008389397.2, XM_008391175.3
XP_008389398.2, XM_008391176.3
XP_028947923.1, XM_029092090.1
XP_028948442.1, XM_029092609.1
XP_008361525.2, XM_008363303.2
XP_028964840.1, XM_029109007.1
XP_008367142.2, XM_008368920.3
XP_008362112.2, XM_008363890.3
XP_028963481.1, XM_029107648.1
XP_008355351.1, XM_008357129.3
XP_008386026.2, XM_008387804.3
XP_008354456.2, XM_008356234.3
XP_028959016.1, XM_029103183.1
XP_008338191.2, XM_008339969.3
XP_008377654.1, XM_008379432.3
XP_008382911.1, XM_008384689.3
XP_008371726.2, XM_008373504.3
XP_028960859.1, XM_029105026.1
XP_008387516.2, XM_008389294.2
XP_028946578.1, XM_029090745.1
XP_008393882.2, XM_008395660.3
XP_028962784.1, XM_029106951.1
XP_008360000.2, XM_008361778.3
XP_017180944.1, XM_017325455.2
XP_008346952.2, XM_008348730.3
XP_028952180.1, XM_029096347.1
XP_008386630.2, XM_008388408.3
XP_008361779.1, XM_008363557.3
XP_008339141.1, XM_008340919.3
XP_028964988.1, XM_029109155.1
XP_008371521.1, XM_008373299.3
XP_028966116.1, XM_029110283.1
XP_008367963.1, XM_008369741.3
XP_028944915.1, XM_029089082.1
XP_028947399.1, XM_029091566.1
XP_008383143.1, XM_008384921.3
XP_008393806.1, XM_008395584.3
XP_008375065.1, XM_008376843.3
XP_008393507.1, XM_008395285.3
XP_008339069.1, XM_008340847.3
XP_008378724.1, XM_008380502.3
XP_028954932.1, XM_029099099.1
XP_008378754.1, XM_008380532.3
XP_028950840.1, XM_029095007.1
XP_008382398.2, XM_008384176.3
XP_008377147.2, XM_008378925.3
XP_008387938.1, XM_008389716.3
XP_008337231.1, XM_008339009.3
XP_008381895.1, XM_008383673.3
XP_028957752.1, XM_029101919.1
XP_008340159.2, XM_008341937.3
XP_008389799.2, XM_008391577.3
XP_008342553.1, XM_008344331.3
XP_008391283.2, XM_008393061.3
NP_001315833.1, NM_001328904.1
XP_017184711.2, XM_017329222.2
XP_017180375.2, XM_017324886.2
XP_028952175.1, XM_029096342.1
XP_008386213.2, XM_008387991.3
XP_008367284.2, XM_008369062.3
XP_008386889.1, XM_008388667.3
XP_008370751.2, XM_008372529.3
XP_008351513.2, XM_008353291.3
XP_008387134.2, XM_008388912.3
XP_008383266.1, XM_008385044.3
XP_008375956.1, XM_008377734.3
XP_028956431.1, XM_029100598.1
XP_008370721.2, XM_008372499.3
XP_008371605.1, XM_008373383.3
XP_017186573.2, XM_017331084.2
XP_028952012.1, XM_029096179.1
XP_008379183.1, XM_008380961.3
XP_008345317.1, XM_008347095.3
XP_008354185.2, XM_008355963.2
XP_008356755.2, XM_008358533.3
XP_008367696.2, XM_008369474.2
XP_008353243.2, XM_008355021.3
XP_008390804.1, XM_008392582.3
XP_008341806.1, XM_008343584.3
XP_008388453.1, XM_008390231.3
XP_008388287.2, XM_008390065.3
XP_008347069.2, XM_008348847.3
XP_028949546.1, XM_029093713.1
XP_008355521.2, XM_008357299.3
XP_028950529.1, XM_029094696.1
XP_008367559.1, XM_008369337.3
XP_008374640.1, XM_008376418.3
XP_008371807.2, XM_008373585.3
XP_008373409.2, XM_008375187.3
XP_008382197.3, XM_008383975.3
XP_028957814.1, XM_029101981.1
XP_028950350.1, XM_029094517.1
XP_028963134.1, XM_029107301.1
XP_008389923.1, XM_008391701.3
XP_028956091.1, XM_029100258.1
XP_008366936.2, XM_008368714.3
XP_028956058.1, XM_029100225.1
XP_008349562.2, XM_008351340.3
XP_028960222.1, XM_029104389.1
XP_028953029.1, XM_029097196.1
XP_028952243.1, XM_029096410.1
XP_008374872.1, XM_008376650.3
XP_028948252.1, XM_029092419.1
XP_008340778.2, XM_008342556.3
XP_008380951.2, XM_008382729.3
XP_008391640.1, XM_008393418.3
XP_028946879.1, XM_029091046.1
XP_008342851.2, XM_008344629.3
XP_008360863.2, XM_008362641.3
XP_008349827.1, XM_008351605.3
XP_008367772.2, XM_008369550.3
XP_008374635.1, XM_008376413.3
XP_028948357.1, XM_029092524.1
XP_008392905.1, XM_008394683.3
XP_008370404.1, XM_008372182.3
XP_008388510.2, XM_008390288.3
XP_028957263.1, XM_029101430.1
XP_008377485.2, XM_008379263.3
XP_008379383.1, XM_008381161.3
XP_017189028.2, XM_017333539.2
XP_028962560.1, XM_029106727.1
XP_028962561.1, XM_029106728.1
XP_008355486.2, XM_008357264.2
XP_008386698.1, XM_008388476.3
XP_008343169.2, XM_008344947.3
XP_028964506.1, XM_029108673.1
XP_028945081.1, XM_029089248.1
XP_008344910.3, XM_008346688.3
XP_008340246.2, XM_008342024.2
XP_028947267.1, XM_029091434.1
XP_008366801.2, XM_008368579.3
XP_008370244.2, XM_008372022.3
XP_008359653.2, XM_008361431.3
XP_017181383.1, XM_017325894.2
XP_028954924.1, XM_029099091.1
XP_008378687.2, XM_008380465.3
XP_008386827.1, XM_008388605.3
XP_008391698.1, XM_008393476.3
XP_008358690.2, XM_008360468.3
XP_008371300.1, XM_008373078.3
XP_028952026.1, XM_029096193.1
XP_008373269.1, XM_008375047.3
XP_028965304.1, XM_029109471.1
XP_017178052.2, XM_017322563.2
XP_028946409.1, XM_029090576.1
XP_008394331.2, XM_008396109.3
XP_008357819.2, XM_008359597.3
XP_028952573.1, XM_029096740.1
XP_008354732.2, XM_008356510.3
XP_008374427.1, XM_008376205.3
XP_008393024.2, XM_008394802.3
XP_008376005.3, XM_008377783.3
XP_028954940.1, XM_029099107.1
XP_028955772.1, XM_029099939.1
XP_008337528.2, XM_008339306.3
XP_008372029.2, XM_008373807.3
XP_008383085.1, XM_008384863.3
XP_008363236.2, XM_008365014.3
XP_028960807.1, XM_029104974.1
XP_008363545.3, XM_008365323.3
XP_008385652.2, XM_008387430.2
XP_017191477.1, XM_017335988.2
XP_008373590.2, XM_008375368.3
XP_028951563.1, XM_029095730.1
XP_008374520.2, XM_008376298.3
XP_028959844.1, XM_029104011.1
XP_008349443.2, XM_008351221.3
XP_008381019.2, XM_008382797.3
XP_008350496.1, XM_008352274.3
XP_028950538.1, XM_029094705.1
XP_008380528.2, XM_008382306.3
XP_008383808.2, XM_008385586.3
XP_028959055.1, XM_029103222.1
XP_028964977.1, XM_029109144.1
XP_028952668.1, XM_029096835.1
XP_008391580.2, XM_008393358.3
XP_028946873.1, XM_029091040.1
XP_008352930.2, XM_008354708.3
XP_008389319.2, XM_008391097.3
XP_028951762.1, XM_029095929.1
XP_008388529.1, XM_008390307.3
XP_008339287.2, XM_008341065.3
XP_008391434.1, XM_008393212.3
XP_028965297.1, XM_029109464.1
XP_008364669.3, XM_008366447.3
XP_008393131.2, XM_008394909.2
XP_008367099.2, XM_008368877.3
XP_008386206.1, XM_008387984.3
XP_008365520.2, XM_008367298.3
XP_008394198.1, XM_008395976.3
XP_008373374.2, XM_008375152.3
XP_008385456.1, XM_008387234.3
XP_008371945.2, XM_008373723.3
XP_028946654.1, XM_029090821.1
XP_028962536.1, XM_029106703.1
XP_008392129.2, XM_008393907.3
XP_008394026.1, XM_008395804.3
XP_008394281.3, XM_008396059.3
XP_028949688.1, XM_029093855.1
XP_008361950.1, XM_008363728.3
XP_028956782.1, XM_029100949.1
XP_008375566.2, XM_008377344.3
XP_028950571.1, XM_029094738.1
XP_008373598.1, XM_008375376.3
XP_008390239.2, XM_008392017.3
XP_008388590.1, XM_008390368.3
XP_028964515.1, XM_029108682.1
XP_008345048.1, XM_008346826.3
XP_008392923.1, XM_008394701.3
XP_008354911.2, XM_008356689.3
XP_008356751.2, XM_008358529.3
XP_008374680.1, XM_008376458.3
XP_008393265.2, XM_008395043.3
XP_008381626.1, XM_008383404.3
XP_008343305.2, XM_008345083.3
XP_028956282.1, XM_029100449.1
XP_008378193.1, XM_008379971.3
XP_008394143.1, XM_008395921.3
XP_008367391.2, XM_008369169.3
XP_008394200.1, XM_008395978.3
XP_008378081.1, XM_008379859.3
XP_008393861.2, XM_008395639.3
XP_028951812.1, XM_029095979.1
XP_008381303.2, XM_008383081.3
XP_008362119.1, XM_008363897.3
XP_008379180.2, XM_008380958.3
XP_008391619.3, XM_008393397.3
XP_008340987.2, XM_008342765.3
XP_008390891.1, XM_008392669.2
XP_008380310.2, XM_008382088.3
XP_028949244.1, XM_029093411.1
XP_028962167.1, XM_029106334.1
XP_008349595.2, XM_008351373.3
XP_028955897.1, XM_029100064.1
XP_008362715.3, XM_008364493.3
XP_008376677.1, XM_008378455.3
XP_008380438.2, XM_008382216.3
XP_008376999.1, XM_008378777.3
XP_008378133.2, XM_008379911.3
XP_008351796.2, XM_008353574.3
XP_008374424.1, XM_008376202.3
XP_028959790.1, XM_029103957.1
XP_008374346.2, XM_008376124.3
XP_028953469.1, XM_029097636.1
XP_028964400.1, XM_029108567.1
XP_008378444.1, XM_008380222.3
XP_028949485.1, XM_029093652.1
XP_008359918.2, XM_008361696.3
XP_008370807.2, XM_008372585.3
XP_008339070.2, XM_008340848.3
XP_028963131.1, XM_029107298.1
XP_008372701.1, XM_008374479.3
XP_028964256.1, XM_029108423.1
XP_008353646.2, XM_008355424.3
XP_028964616.1, XM_029108783.1
XP_008340493.1, XM_008342271.3
XP_008389103.2, XM_008390881.3
XP_017190692.2, XM_017335203.2
XP_028950177.1, XM_029094344.1
XP_008382051.2, XM_008383829.3
XP_028944920.1, XM_029089087.1
XP_008340511.1, XM_008342289.3
XP_008389114.2, XM_008390892.3
XP_008387335.1, XM_008389113.3
XP_028960271.1, XM_029104438.1
XP_008383717.1, XM_008385495.3
XP_028954146.1, XM_029098313.1
XP_008387524.1, XM_008389302.3
XP_028956887.1, XM_029101054.1
XP_028955736.1, XM_029099903.1
XP_008387681.2, XM_008389459.3
XP_008369139.1, XM_008370917.3
XP_008354198.1, XM_008355976.3
XP_008376412.1, XM_008378190.3
XP_008370947.2, XM_008372725.3
XP_008354008.2, XM_008355786.3
XP_008377334.2, XM_008379112.3
XP_028960798.1, XM_029104965.1
XP_008367350.2, XM_008369128.3
XP_008394160.1, XM_008395938.3
XP_028950179.1, XM_029094346.1
XP_008343221.1, XM_008344999.3
XP_008393945.2, XM_008395723.3
XP_017189063.2, XM_017333574.2
XP_008341140.2, XM_008342918.3
XP_008391428.2, XM_008393206.3
XP_008391429.2, XM_008393207.3
XP_008373463.1, XM_008375241.3
XP_008337973.3, XM_008339751.3
XP_008393758.2, XM_008395536.3
XP_008387803.2, XM_008389581.3
XP_008341517.1, XM_008343295.3
XP_008341518.1, XM_008343296.3
XP_008341519.1, XM_008343297.3
XP_008365396.2, XM_008367174.3
XP_017178722.1, XM_017323233.2
XP_008367224.1, XM_008369002.3
XP_008367225.1, XM_008369003.3
XP_008361021.2, XM_008362799.3
XP_028959708.1, XM_029103875.1
XP_008368211.2, XM_008369989.3
XP_008373618.1, XM_008375396.3
XP_008373337.2, XM_008375115.3
XP_008382458.1, XM_008384236.3
XP_008392896.1, XM_008394674.3
XP_008376500.1, XM_008378278.3
XP_008376781.2, XM_008378559.3
XP_008389327.2, XM_008391105.3
XP_017192481.2, XM_017336992.2
XP_008393429.1, XM_008395207.3
XP_017188377.2, XM_017332888.2
XP_008385224.2, XM_008387002.3
XP_008353631.2, XM_008355409.2
XP_008381255.1, XM_008383033.3
XP_028953816.1, XM_029097983.1
XP_008343638.1, XM_008345416.3
XP_008343713.2, XM_008345491.3
XP_008388595.2, XM_008390373.3
XP_017187219.1, XM_017331730.2
XP_008375547.1, XM_008377325.3
XP_008378474.1, XM_008380252.3
XP_008354842.2, XM_008356620.3
XP_008375399.2, XM_008377177.3
XP_008383435.1, XM_008385213.2
XP_017187859.2, XM_017332370.2
XP_008344978.2, XM_008346756.3
XP_008339997.2, XM_008341775.3
XP_008389599.1, XM_008391377.3
XP_008339688.2, XM_008341466.3
XP_028947763.1, XM_029091930.1
XP_008337227.1, XM_008339005.3
XP_028957755.1, XM_029101922.1
XP_008348634.1, XM_008350412.3
XP_028960538.1, XM_029104705.1
XP_008366891.2, XM_008368669.3
XP_008370835.3, XM_008372613.3
XP_028949536.1, XM_029093703.1
XP_028964739.1, XM_029108906.1
XP_008337454.2, XM_008339232.3
XP_008383169.1, XM_008384947.3
XP_028951594.1, XM_029095761.1
XP_028946807.1, XM_029090974.1
XP_008372635.2, XM_008374413.2
XP_008382601.1, XM_008384379.3
XP_008340918.2, XM_008342696.3
XP_008390836.2, XM_008392614.3
XP_008366555.1, XM_008368333.3
XP_008366556.1, XM_008368334.3
XP_008368885.1, XM_008370663.3
XP_008343086.2, XM_008344864.3
NP_001315726.1, NM_001328797.1
XP_008392539.2, XM_008394317.3
XP_008380564.1, XM_008382342.3
XP_008393588.1, XM_008395366.3
XP_008369187.1, XM_008370965.3
XP_008369188.1, XM_008370966.3
XP_008370247.2, XM_008372025.3
XP_008388336.2, XM_008390114.3
XP_008370785.1, XM_008372563.3
XP_008362668.2, XM_008364446.3
XP_008364702.1, XM_008366480.3
XP_008356631.1, XM_008358409.3
XP_008354229.2, XM_008356007.2
XP_008376403.3, XM_008378181.3
XP_008341454.1, XM_008343232.3
XP_008340932.2, XM_008342710.3
XP_028947439.1, XM_029091606.1
XP_028949973.1, XM_029094140.1
XP_028949974.1, XM_029094141.1
XP_028962605.1, XM_029106772.1
XP_008369532.2, XM_008371310.3
XP_008392086.2, XM_008393864.3
XP_028946281.1, XM_029090448.1
XP_008340416.1, XM_008342194.3
XP_008389061.2, XM_008390839.3
XP_008361856.2, XM_008363634.3
XP_008340845.2, XM_008342623.3
XP_008390741.2, XM_008392519.3
XP_008379494.2, XM_008381272.3
XP_028953310.1, XM_029097477.1
XP_008379432.3, XM_008381210.3
XP_008385655.1, XM_008387433.3
XP_008372396.2, XM_008374174.3
XP_008382711.2, XM_008384489.3
XP_008337606.2, XM_008339384.3
XP_028943656.1, XM_029087823.1
XP_008393905.1, XM_008395683.3
XP_008342848.3, XM_008344626.3
XP_008392609.1, XM_008394387.3
XP_008384354.1, XM_008386132.3
XP_008393708.2, XM_008395486.3
XP_017178689.2, XM_017323200.2
XP_028962656.1, XM_029106823.1
NP_001281014.1, NM_001294085.1
XP_008393825.2, XM_008395603.3
XP_008341100.2, XM_008342878.3
XP_028950164.1, XM_029094331.1
XP_008384810.2, XM_008386588.3
XP_028955481.1, XM_029099648.1
XP_028955482.1, XM_029099649.1
XP_028947038.1, XM_029091205.1
XP_028947039.1, XM_029091206.1
XP_008376811.2, XM_008378589.3
XP_008381512.2, XM_008383290.3
XP_008352752.2, XM_008354530.3
XP_008378674.2, XM_008380452.3
XP_008372892.2, XM_008374670.3
