SRR,Published,spot_numbers,read_length,URL,SRX,Strategy,Selection,Single_Paired,ILLUMINA,Instrument,SRP,Bioproject,SRS,Biosample,Species,GSM,SRA
SRR1657472,10/13/15 9:57,14134623,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1657472/SRR1657472.1,SRX763947,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP050051,PRJNA267853,SRS748321,SAMN03201443,Arabidopsis lyrata,GSM1550353,SRA203365
SRR1162940,2/4/15 2:20,17342335,100,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1162940/SRR1162940.1,SRX466007,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina Genome Analyzer IIx,SRP036730,PRJNA237509,SRS553826,SAMN02630000,Arabidopsis lyrata,GSM1322890,SRA137285
SRR514997,6/20/12 13:31,12235200,60,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR514997/SRR514997.1,SRX076018,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina Genome Analyzer,SRP007110,PRJNA141211,SRS211859,SAMN00626994,Arabidopsis thaliana,GSM736442,SRA037856
SRR514998,6/20/12 14:48,16824857,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR514998/SRR514998.1,SRX076018,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina Genome Analyzer,SRP007110,PRJNA141211,SRS211859,SAMN00626994,Arabidopsis thaliana,GSM736442,SRA037856
SRR514999,6/20/12 13:36,16282910,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR514999/SRR514999.1,SRX076018,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina Genome Analyzer,SRP007110,PRJNA141211,SRS211859,SAMN00626994,Arabidopsis thaliana,GSM736442,SRA037856
SRR7442243,11/9/18 16:00,18396816,250,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7442243/SRR7442243.1,SRX4312843,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151453,PRJNA478206,SRS3471868,SAMN09501224,Arabidopsis thaliana,GSM3228269,SRA729659
SRR7442244,11/9/18 16:00,18365114,250,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7442244/SRR7442244.1,SRX4312844,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151453,PRJNA478206,SRS3471869,SAMN09501222,Arabidopsis thaliana,GSM3228270,SRA729659
SRR7442245,11/9/18 16:00,17333052,250,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7442245/SRR7442245.1,SRX4312845,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151453,PRJNA478206,SRS3471871,SAMN09501221,Arabidopsis thaliana,GSM3228272,SRA729659
SRR7442246,11/9/18 16:00,18220207,250,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7442246/SRR7442246.1,SRX4312846,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151453,PRJNA478206,SRS3471870,SAMN09501219,Arabidopsis thaliana,GSM3228273,SRA729659
SRR2136676,7/18/17 16:36,64226408,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2136676/SRR2136676.1,SRX1126046,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP061868,PRJNA291563,SRS1017981,SAMN03945534,Arabidopsis thaliana,GSM1838953,SRA281191
SRR2136677,7/18/17 16:36,42999910,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2136677/SRR2136677.1,SRX1126047,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP061868,PRJNA291563,SRS1017980,SAMN03945535,Arabidopsis thaliana,GSM1838954,SRA281191
SRR2136678,7/18/17 16:36,41428814,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2136678/SRR2136678.1,SRX1126048,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP061868,PRJNA291563,SRS1017979,SAMN03945536,Arabidopsis thaliana,GSM1838955,SRA281191
SRR2039793,8/2/15 10:53,21213873,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039793/SRR2039793.1,SRX1038185,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,SRS945347,SAMN03734507,Arabidopsis thaliana,GSM1695576,SRA269936
SRR2039794,8/2/15 10:53,16802872,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039794/SRR2039794.1,SRX1038186,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,SRS945344,SAMN03734508,Arabidopsis thaliana,GSM1695577,SRA269936
SRR2033948,8/2/15 10:53,9204014,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033948/SRR2033948.1,SRX1034172,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941693,SAMN03702811,Arabidopsis thaliana,GSM1692575,SRA269101
SRR2033949,8/2/15 10:53,40051762,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033949/SRR2033949.1,SRX1034173,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941692,SAMN03702812,Arabidopsis thaliana,GSM1692576,SRA269101
SRR2033950,8/2/15 10:53,15217465,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033950/SRR2033950.1,SRX1034174,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941691,SAMN03702813,Arabidopsis thaliana,GSM1692577,SRA269101
SRR2033951,8/2/15 10:53,58451693,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033951/SRR2033951.1,SRX1034175,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941690,SAMN03702814,Arabidopsis thaliana,GSM1692578,SRA269101
SRR2033952,8/2/15 10:53,14346675,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033952/SRR2033952.1,SRX1034176,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941689,SAMN03702815,Arabidopsis thaliana,GSM1692579,SRA269101
SRR2033953,8/2/15 10:53,15065572,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033953/SRR2033953.1,SRX1034177,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941688,SAMN03702816,Arabidopsis thaliana,GSM1692580,SRA269101
SRR7406460,4/19/19 11:22,45542220,199,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7406460/SRR7406460.1,SRX4278032,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151039,PRJNA477336,SRS3444109,SAMN09466653,Arabidopsis thaliana,GSM3209218,SRA726163
SRR7406461,4/19/19 11:22,48165370,199,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7406461/SRR7406461.1,SRX4278033,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151039,PRJNA477336,SRS3444110,SAMN09466652,Arabidopsis thaliana,GSM3209219,SRA726163
SRR7406462,4/19/19 11:22,42134256,199,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7406462/SRR7406462.1,SRX4278034,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP151039,PRJNA477336,SRS3444111,SAMN09466651,Arabidopsis thaliana,GSM3209220,SRA726163
SRR6320469,11/23/17 22:00,5879356,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR6320469/SRR6320469.1,SRX3420422,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2712287,SAMN08095275,Arabidopsis thaliana,At_cauline_leaf_RNA-seq_1,SRA633660
SRR6320474,11/23/17 22:01,6243295,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR6320474/SRR6320474.1,SRX3420417,RNA-Seq,RANDOM PCR,PAIRED,ILLUMINA,HiSeq X Ten,SRP102870,PRJNA381300,SRS2712283,SAMN08095276,Arabidopsis thaliana,At_carpel_RNA-seq_1,SRA633660
SRR643405,7/22/15 17:03,6059222,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR643405/SRR643405.2,SRX213690,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP017725,PRJNA185137,SRS382811,SAMN01881836,Brassica oleracea,GSM1059162,SRA063826
SRR3928459,7/14/19 10:54,57918018,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928459/SRR3928459.1,SRX1958165,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568622,SAMN05413116,Brassica oleracea,GSM2236439,SRA441409
SRR3928460,7/14/19 10:54,71776687,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928460/SRR3928460.1,SRX1958166,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568623,SAMN05413117,Brassica oleracea,GSM2236440,SRA441409
SRR3928461,7/14/19 10:54,95239158,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928461/SRR3928461.1,SRX1958167,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568624,SAMN05413118,Brassica oleracea,GSM2236441,SRA441409
SRR630924,7/22/15 17:03,21301501,180,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR630924/SRR630924.2,SRX209693,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP017530,PRJNA183713,SRS379450,SAMN01831065,Brassica oleracea,GSM1052960,SRA062822
SRR8980847,7/28/19 11:49,92735050,295,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8980847/SRR8980847.1,SRX5760145,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP194026,PRJNA540072,SRS4695204,SAMN11520692,Brassica oleracea,GSM3737789,SRA880202
SRR8980848,7/28/19 11:49,90337420,296,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8980848/SRR8980848.1,SRX5760146,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP194026,PRJNA540072,SRS4695205,SAMN11520697,Brassica oleracea,GSM3737790,SRA880202
SRR8980849,7/28/19 11:49,91181364,296,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8980849/SRR8980849.1,SRX5760147,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP194026,PRJNA540072,SRS4695206,SAMN11520696,Brassica oleracea,GSM3737791,SRA880202
SRR1049401,3/18/14 7:05,7452864,502,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1049401/SRR1049401.1,SRX391679,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina MiSeq,SRP034015,PRJNA231628,SRS514909,SAMN02443791,Brassica oleracea,GSM1289112,SRA116540
SRR1049402,3/18/14 7:05,9205040,502,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1049402/SRR1049402.1,SRX391680,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina MiSeq,SRP034015,PRJNA231628,SRS514910,SAMN02443788,Brassica oleracea,GSM1289113,SRA116540
SRR1049403,3/18/14 7:05,9891820,502,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR1049403/SRR1049403.1,SRX391681,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina MiSeq,SRP034015,PRJNA231628,SRS514911,SAMN02443789,Brassica oleracea,GSM1289114,SRA116540
SRR833616,7/22/15 17:03,12391684,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR833616/SRR833616.2,SRX271228,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP021472,PRJNA198651,SRS415760,SAMN02055379,Brassica rapa,GSM1128359,SRA074247
SRR643404,7/22/15 17:03,6178564,49,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR643404/SRR643404.2,SRX213689,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP017725,PRJNA185137,SRS382810,SAMN01881835,Brassica rapa,GSM1059161,SRA063826
SRR3928456,7/14/19 10:54,61790558,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928456/SRR3928456.1,SRX1958162,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568619,SAMN05413113,Brassica rapa,GSM2236436,SRA441409
SRR3928457,7/14/19 10:54,58951148,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928457/SRR3928457.1,SRX1958163,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568620,SAMN05413114,Brassica rapa,GSM2236437,SRA441409
SRR3928458,7/14/19 10:54,63137624,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3928458/SRR3928458.1,SRX1958164,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP078790,PRJNA329471,SRS1568621,SAMN05413115,Brassica rapa,GSM2236438,SRA441409
SRR6819899,3/30/18 17:32,26451135,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819899/SRR6819899.1,SRX3776747,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030792,SAMN08663727,Brassica rapa,GSM3035064,SRA665214
SRR6819900,3/30/18 17:32,27114314,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819900/SRR6819900.1,SRX3776748,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030794,SAMN08663726,Brassica rapa,GSM3035065,SRA665214
SRR6819901,3/30/18 17:32,22373978,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819901/SRR6819901.1,SRX3776749,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030793,SAMN08663725,Brassica rapa,GSM3035066,SRA665214
SRR6819902,3/30/18 17:32,24112558,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819902/SRR6819902.1,SRX3776750,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030795,SAMN08663724,Brassica rapa,GSM3035067,SRA665214
SRR6819903,3/30/18 17:32,25719681,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819903/SRR6819903.1,SRX3776751,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030796,SAMN08663723,Brassica rapa,GSM3035068,SRA665214
SRR6819904,3/30/18 17:32,25013012,300,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-14/SRR6819904/SRR6819904.1,SRX3776752,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 4000,SRP134210,PRJNA437495,SRS3030797,SAMN08663722,Brassica rapa,GSM3035069,SRA665214
SRR3102664,8/24/17 16:21,95090934,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3102664/SRR3102664.1,SRX1531631,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP068476,PRJNA308856,SRS1248947,SAMN04414866,Capsella rubella,GSM2039976,SRA334712
SRR3102665,8/24/17 16:21,79458690,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3102665/SRR3102665.1,SRX1531632,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP068476,PRJNA308856,SRS1248946,SAMN04414867,Capsella rubella,GSM2039977,SRA334712
SRR3102666,8/24/17 16:21,88743401,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-8/SRR3102666/SRR3102666.1,SRX1531633,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP068476,PRJNA308856,SRS1248945,SAMN04414868,Capsella rubella,GSM2039978,SRA334712
SRR3102667,8/24/17 16:21,79674989,200,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR3102667/SRR3102667.1,SRX1531634,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP068476,PRJNA308856,SRS1248944,SAMN04414869,Capsella rubella,GSM2039979,SRA334712
SRR771925,7/22/15 17:02,22978048,180,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR771925/SRR771925.2,SRX248803,RNA-Seq,cDNA,PAIRED,ILLUMINA,Illumina HiSeq 2000,SRP019256,PRJNA193077,SRS400914,SAMN01975408,Capsicum annuum,GSM1096439,SRA068937
SRR8692625,6/11/19 20:52,7216028,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8692625/SRR8692625.1,SRX5488442,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460911,SAMN11080689,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_1,SRA856779
SRR8692624,6/11/19 20:52,8713821,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8692624/SRR8692624.1,SRX5488443,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460912,SAMN11080690,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_2,SRA856779
SRR8692623,6/11/19 20:52,7973231,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8692623/SRR8692623.1,SRX5488444,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460913,SAMN11080691,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_3,SRA856779
SRR8692622,6/11/19 20:52,9215319,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8692622/SRR8692622.1,SRX5488445,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460915,SAMN11080692,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_4,SRA856779
SRR8692621,6/11/19 20:52,8184800,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8692621/SRR8692621.1,SRX5488446,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460914,SAMN11080693,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_5,SRA856779
SRR8692620,6/11/19 20:52,8336386,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8692620/SRR8692620.1,SRX5488447,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460916,SAMN11080694,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_6,SRA856779
SRR8692619,6/11/19 20:52,8806143,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692619/SRR8692619.1,SRX5488448,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460917,SAMN11080695,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_7,SRA856779
SRR8692618,6/11/19 20:52,8776694,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692618/SRR8692618.1,SRX5488449,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460918,SAMN11080696,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_8,SRA856779
SRR8692580,6/11/19 20:52,10305777,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692580/SRR8692580.1,SRX5488487,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460956,SAMN11080697,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_9,SRA856779
SRR8692629,6/11/19 20:52,8451127,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692629/SRR8692629.1,SRX5488438,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460906,SAMN11080698,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_10,SRA856779
SRR8692600,6/11/19 20:52,8066599,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8692600/SRR8692600.1,SRX5488467,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460936,SAMN11080699,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_11,SRA856779
SRR8692599,6/11/19 20:52,8903256,302,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8692599/SRR8692599.1,SRX5488468,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460937,SAMN11080700,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_12,SRA856779
SRR8692602,6/11/19 20:52,9979782,287,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8692602/SRR8692602.1,SRX5488465,RNA-Seq,size fractionation,PAIRED,ILLUMINA,Illumina HiSeq 2500,SRP187794,PRJNA525913,SRS4460934,SAMN11080701,Capsicum annuum,Sample from Capsicum annuum treated with Abiotic stress Mock_13,SRA856779
