protein, rna
Carica_papaya-XP_021895085.1, Carica_papaya-XM_022039393.1
Carica_papaya-XP_021896491.1, Carica_papaya-XM_022040799.1
Carica_papaya-XP_021891325.1, Carica_papaya-XM_022035633.1
Carica_papaya-XP_021895257.1, Carica_papaya-XM_022039565.1
Carica_papaya-XP_021898121.1, Carica_papaya-XM_022042429.1
Carica_papaya-XP_021898122.1, Carica_papaya-XM_022042430.1
Carica_papaya-XP_021902482.1, Carica_papaya-XM_022046790.1
Carica_papaya-XP_021900069.1, Carica_papaya-XM_022044377.1
Carica_papaya-XP_021905460.1, Carica_papaya-XM_022049768.1
Carica_papaya-XP_021905461.1, Carica_papaya-XM_022049769.1
Carica_papaya-XP_021902826.1, Carica_papaya-XM_022047134.1
Carica_papaya-XP_021908644.1, Carica_papaya-XM_022052952.1
Carica_papaya-XP_021898097.1, Carica_papaya-XM_022042405.1
Carica_papaya-XP_021895733.1, Carica_papaya-XM_022040041.1
Carica_papaya-XP_021897426.1, Carica_papaya-XM_022041734.1
Carica_papaya-XP_021887379.1, Carica_papaya-XM_022031687.1
Carica_papaya-XP_021897364.1, Carica_papaya-XM_022041672.1
Carica_papaya-XP_021905173.1, Carica_papaya-XM_022049481.1
Carica_papaya-XP_021908813.1, Carica_papaya-XM_022053121.1
Carica_papaya-XP_021910455.1, Carica_papaya-XM_022054763.1
Carica_papaya-XP_021901929.1, Carica_papaya-XM_022046237.1
Carica_papaya-XP_021900529.1, Carica_papaya-XM_022044837.1
Carica_papaya-XP_021907616.1, Carica_papaya-XM_022051924.1
Carica_papaya-XP_021907617.1, Carica_papaya-XM_022051925.1
Carica_papaya-XP_021907618.1, Carica_papaya-XM_022051926.1
Carica_papaya-XP_021899302.1, Carica_papaya-XM_022043610.1
Carica_papaya-XP_021907811.1, Carica_papaya-XM_022052119.1
Carica_papaya-XP_021906050.1, Carica_papaya-XM_022050358.1
Carica_papaya-XP_021908948.1, Carica_papaya-XM_022053256.1
Carica_papaya-XP_021894570.1, Carica_papaya-XM_022038878.1
Carica_papaya-XP_021896030.1, Carica_papaya-XM_022040338.1
Carica_papaya-XP_021901878.1, Carica_papaya-XM_022046186.1
Carica_papaya-XP_021889301.1, Carica_papaya-XM_022033609.1
Carica_papaya-XP_021889974.1, Carica_papaya-XM_022034282.1
Carica_papaya-XP_021887725.1, Carica_papaya-XM_022032033.1
Carica_papaya-XP_021912350.1, Carica_papaya-XM_022056658.1
Carica_papaya-XP_021894407.1, Carica_papaya-XM_022038715.1
Carica_papaya-XP_021894408.1, Carica_papaya-XM_022038716.1
Carica_papaya-XP_021897409.1, Carica_papaya-XM_022041717.1
Carica_papaya-XP_021893149.1, Carica_papaya-XM_022037457.1
Carica_papaya-XP_021893683.1, Carica_papaya-XM_022037991.1
Carica_papaya-XP_021911209.1, Carica_papaya-XM_022055517.1
Carica_papaya-XP_021893302.1, Carica_papaya-XM_022037610.1
Carica_papaya-XP_021895619.1, Carica_papaya-XM_022039927.1
Carica_papaya-XP_021895620.1, Carica_papaya-XM_022039928.1
Carica_papaya-XP_021903825.1, Carica_papaya-XM_022048133.1
Carica_papaya-XP_021892019.1, Carica_papaya-XM_022036327.1
Carica_papaya-XP_021894868.1, Carica_papaya-XM_022039176.1
Carica_papaya-XP_021886897.1, Carica_papaya-XM_022031205.1
Carica_papaya-XP_021891975.1, Carica_papaya-XM_022036283.1
Carica_papaya-XP_021907302.1, Carica_papaya-XM_022051610.1
Carica_papaya-XP_021907995.1, Carica_papaya-XM_022052303.1
Carica_papaya-XP_021888238.1, Carica_papaya-XM_022032546.1
Carica_papaya-XP_021904165.1, Carica_papaya-XM_022048473.1
Carica_papaya-XP_021904166.1, Carica_papaya-XM_022048474.1
Carica_papaya-XP_021901917.1, Carica_papaya-XM_022046225.1
Carica_papaya-XP_021895283.1, Carica_papaya-XM_022039591.1
Carica_papaya-XP_021887344.1, Carica_papaya-XM_022031652.1
Carica_papaya-XP_021911042.1, Carica_papaya-XM_022055350.1
Carica_papaya-XP_021902497.1, Carica_papaya-XM_022046805.1
Carica_papaya-XP_021887875.1, Carica_papaya-XM_022032183.1
Carica_papaya-XP_021887876.1, Carica_papaya-XM_022032184.1
Carica_papaya-XP_021889519.1, Carica_papaya-XM_022033827.1
Carica_papaya-XP_021904375.1, Carica_papaya-XM_022048683.1
Carica_papaya-XP_021897908.1, Carica_papaya-XM_022042216.1
Carica_papaya-XP_021896098.1, Carica_papaya-XM_022040406.1
Carica_papaya-XP_021891790.1, Carica_papaya-XM_022036098.1
Carica_papaya-XP_021892332.1, Carica_papaya-XM_022036640.1
Carica_papaya-XP_021891798.1, Carica_papaya-XM_022036106.1
Carica_papaya-XP_021893772.1, Carica_papaya-XM_022038080.1
Carica_papaya-XP_021897274.1, Carica_papaya-XM_022041582.1
Carica_papaya-XP_021898771.1, Carica_papaya-XM_022043079.1
Carica_papaya-XP_021898202.1, Carica_papaya-XM_022042510.1
Carica_papaya-XP_021896711.1, Carica_papaya-XM_022041019.1
Carica_papaya-XP_021910135.1, Carica_papaya-XM_022054443.1
Carica_papaya-XP_021902463.1, Carica_papaya-XM_022046771.1
Carica_papaya-XP_021891301.1, Carica_papaya-XM_022035609.1
Carica_papaya-XP_021891302.1, Carica_papaya-XM_022035610.1
Carica_papaya-XP_021891303.1, Carica_papaya-XM_022035611.1
Carica_papaya-XP_021896661.1, Carica_papaya-XM_022040969.1
Carica_papaya-XP_021898780.1, Carica_papaya-XM_022043088.1
Carica_papaya-XP_021898781.1, Carica_papaya-XM_022043089.1
Carica_papaya-XP_021898782.1, Carica_papaya-XM_022043090.1
Carica_papaya-XP_021900212.1, Carica_papaya-XM_022044520.1
Carica_papaya-XP_021900438.1, Carica_papaya-XM_022044746.1
Carica_papaya-XP_021899882.1, Carica_papaya-XM_022044190.1
Carica_papaya-XP_021890160.1, Carica_papaya-XM_022034468.1
Carica_papaya-XP_021890162.1, Carica_papaya-XM_022034470.1
Carica_papaya-XP_021907523.1, Carica_papaya-XM_022051831.1
Carica_papaya-XP_021894318.1, Carica_papaya-XM_022038626.1
Carica_papaya-XP_021889392.1, Carica_papaya-XM_022033700.1
Carica_papaya-XP_021898442.1, Carica_papaya-XM_022042750.1
Carica_papaya-XP_021906660.1, Carica_papaya-XM_022050968.1
Carica_papaya-XP_021910296.1, Carica_papaya-XM_022054604.1
Carica_papaya-XP_021900165.1, Carica_papaya-XM_022044473.1
Carica_papaya-XP_021908893.1, Carica_papaya-XM_022053201.1
Carica_papaya-XP_021898362.1, Carica_papaya-XM_022042670.1
Carica_papaya-XP_021890521.1, Carica_papaya-XM_022034829.1
Carica_papaya-XP_021893845.1, Carica_papaya-XM_022038153.1
Carica_papaya-XP_021893917.1, Carica_papaya-XM_022038225.1
Carica_papaya-XP_021892133.1, Carica_papaya-XM_022036441.1
Carica_papaya-XP_021900457.1, Carica_papaya-XM_022044765.1
Carica_papaya-XP_021905275.1, Carica_papaya-XM_022049583.1
Carica_papaya-XP_021905276.1, Carica_papaya-XM_022049584.1
Carica_papaya-XP_021891136.1, Carica_papaya-XM_022035444.1
Carica_papaya-XP_021897816.1, Carica_papaya-XM_022042124.1
Carica_papaya-XP_021903882.1, Carica_papaya-XM_022048190.1
Carica_papaya-XP_021897412.1, Carica_papaya-XM_022041720.1
Carica_papaya-XP_021912717.1, Carica_papaya-XM_022057025.1
Carica_papaya-XP_021912718.1, Carica_papaya-XM_022057026.1
Carica_papaya-XP_021892949.1, Carica_papaya-XM_022037257.1
Carica_papaya-XP_021908836.1, Carica_papaya-XM_022053144.1
Carica_papaya-XP_021912277.1, Carica_papaya-XM_022056585.1
Carica_papaya-XP_021893609.1, Carica_papaya-XM_022037917.1
Carica_papaya-XP_021889781.1, Carica_papaya-XM_022034089.1
Carica_papaya-XP_021887355.1, Carica_papaya-XM_022031663.1
Carica_papaya-XP_021899656.1, Carica_papaya-XM_022043964.1
Carica_papaya-XP_021902031.1, Carica_papaya-XM_022046339.1
Carica_papaya-XP_021901467.1, Carica_papaya-XM_022045775.1
Carica_papaya-XP_021896505.1, Carica_papaya-XM_022040813.1
Carica_papaya-XP_021910472.1, Carica_papaya-XM_022054780.1
Carica_papaya-XP_021905544.1, Carica_papaya-XM_022049852.1
Carica_papaya-XP_021909002.1, Carica_papaya-XM_022053310.1
Carica_papaya-XP_021892743.1, Carica_papaya-XM_022037051.1
Carica_papaya-XP_021894781.1, Carica_papaya-XM_022039089.1
Carica_papaya-XP_021888278.1, Carica_papaya-XM_022032586.1
Carica_papaya-XP_021892976.1, Carica_papaya-XM_022037284.1
Carica_papaya-XP_021892977.1, Carica_papaya-XM_022037285.1
Carica_papaya-XP_021902022.1, Carica_papaya-XM_022046330.1
Carica_papaya-XP_021909559.1, Carica_papaya-XM_022053867.1
Carica_papaya-XP_021905084.1, Carica_papaya-XM_022049392.1
Carica_papaya-XP_021898298.1, Carica_papaya-XM_022042606.1
Carica_papaya-XP_021910566.1, Carica_papaya-XM_022054874.1
Carica_papaya-XP_021908401.1, Carica_papaya-XM_022052709.1
Carica_papaya-XP_021907820.1, Carica_papaya-XM_022052128.1
Carica_papaya-XP_021901631.1, Carica_papaya-XM_022045939.1
Carica_papaya-XP_021909398.1, Carica_papaya-XM_022053706.1
Carica_papaya-XP_021887427.1, Carica_papaya-XM_022031735.1
Carica_papaya-XP_021887428.1, Carica_papaya-XM_022031736.1
Carica_papaya-XP_021909126.1, Carica_papaya-XM_022053434.1
Carica_papaya-XP_021897740.1, Carica_papaya-XM_022042048.1
Carica_papaya-XP_021898662.1, Carica_papaya-XM_022042970.1
Carica_papaya-XP_021890851.1, Carica_papaya-XM_022035159.1
Carica_papaya-XP_021892926.1, Carica_papaya-XM_022037234.1
Carica_papaya-XP_021897146.1, Carica_papaya-XM_022041454.1
Carica_papaya-XP_021901067.1, Carica_papaya-XM_022045375.1
Carica_papaya-XP_021898617.1, Carica_papaya-XM_022042925.1
Carica_papaya-XP_021898618.1, Carica_papaya-XM_022042926.1
Carica_papaya-XP_021908258.1, Carica_papaya-XM_022052566.1
Carica_papaya-XP_021903354.1, Carica_papaya-XM_022047662.1
Carica_papaya-XP_021904902.1, Carica_papaya-XM_022049210.1
Carica_papaya-XP_021896096.1, Carica_papaya-XM_022040404.1
Carica_papaya-XP_021899579.1, Carica_papaya-XM_022043887.1
Carica_papaya-XP_021896703.1, Carica_papaya-XM_022041011.1
Carica_papaya-XP_021902459.1, Carica_papaya-XM_022046767.1
Carica_papaya-XP_021893843.1, Carica_papaya-XM_022038151.1
Carica_papaya-XP_021896970.1, Carica_papaya-XM_022041278.1
Carica_papaya-XP_021899514.1, Carica_papaya-XM_022043822.1
Carica_papaya-XP_021906983.1, Carica_papaya-XM_022051291.1
Carica_papaya-XP_021894782.1, Carica_papaya-XM_022039090.1
Carica_papaya-XP_021888707.1, Carica_papaya-XM_022033015.1
Carica_papaya-XP_021888708.1, Carica_papaya-XM_022033016.1
Carica_papaya-XP_021912252.1, Carica_papaya-XM_022056560.1
Carica_papaya-XP_021886901.1, Carica_papaya-XM_022031209.1
Carica_papaya-XP_021901647.1, Carica_papaya-XM_022045955.1
Carica_papaya-XP_021887489.1, Carica_papaya-XM_022031797.1
Carica_papaya-XP_021910432.1, Carica_papaya-XM_022054740.1
Carica_papaya-XP_021899458.1, Carica_papaya-XM_022043766.1
Carica_papaya-XP_021889359.1, Carica_papaya-XM_022033667.1
Carica_papaya-XP_021903964.1, Carica_papaya-XM_022048272.1
Carica_papaya-XP_021894469.1, Carica_papaya-XM_022038777.1
Carica_papaya-XP_021894860.1, Carica_papaya-XM_022039168.1
Carica_papaya-XP_021894861.1, Carica_papaya-XM_022039169.1
Carica_papaya-XP_021894862.1, Carica_papaya-XM_022039170.1
Carica_papaya-XP_021904944.1, Carica_papaya-XM_022049252.1
Carica_papaya-XP_021905254.1, Carica_papaya-XM_022049562.1
Carica_papaya-XP_021912504.1, Carica_papaya-XM_022056812.1
Carica_papaya-XP_021888693.1, Carica_papaya-XM_022033001.1
Carica_papaya-XP_021895392.1, Carica_papaya-XM_022039700.1
Carica_papaya-XP_021891224.1, Carica_papaya-XM_022035532.1
Carica_papaya-XP_021901690.1, Carica_papaya-XM_022045998.1
Carica_papaya-XP_021904820.1, Carica_papaya-XM_022049128.1
Carica_papaya-XP_021902542.1, Carica_papaya-XM_022046850.1
Carica_papaya-XP_021903650.1, Carica_papaya-XM_022047958.1
Carica_papaya-XP_021888110.1, Carica_papaya-XM_022032418.1
Carica_papaya-XP_021892821.1, Carica_papaya-XM_022037129.1
Carica_papaya-XP_021892822.1, Carica_papaya-XM_022037130.1
Carica_papaya-XP_021892823.1, Carica_papaya-XM_022037131.1
Carica_papaya-XP_021890186.1, Carica_papaya-XM_022034494.1
Carica_papaya-XP_021894687.1, Carica_papaya-XM_022038995.1
Carica_papaya-XP_021894688.1, Carica_papaya-XM_022038996.1
Carica_papaya-XP_021897180.1, Carica_papaya-XM_022041488.1
Carica_papaya-XP_021901097.1, Carica_papaya-XM_022045405.1
Carica_papaya-XP_021906592.1, Carica_papaya-XM_022050900.1
Carica_papaya-XP_021909943.1, Carica_papaya-XM_022054251.1
Carica_papaya-XP_021909239.1, Carica_papaya-XM_022053547.1
Carica_papaya-XP_021898454.1, Carica_papaya-XM_022042762.1
Carica_papaya-XP_021891946.1, Carica_papaya-XM_022036254.1
Carica_papaya-XP_021893170.1, Carica_papaya-XM_022037478.1
Carica_papaya-XP_021887450.1, Carica_papaya-XM_022031758.1
Carica_papaya-XP_021887516.1, Carica_papaya-XM_022031824.1
Carica_papaya-XP_021892623.1, Carica_papaya-XM_022036931.1
Carica_papaya-XP_021910683.1, Carica_papaya-XM_022054991.1
Carica_papaya-XP_021899331.1, Carica_papaya-XM_022043639.1
Carica_papaya-XP_021890090.1, Carica_papaya-XM_022034398.1
Carica_papaya-XP_021905606.1, Carica_papaya-XM_022049914.1
Carica_papaya-XP_021904066.1, Carica_papaya-XM_022048374.1
Carica_papaya-XP_021898839.1, Carica_papaya-XM_022043147.1
Carica_papaya-XP_021898840.1, Carica_papaya-XM_022043148.1
Carica_papaya-XP_021889402.1, Carica_papaya-XM_022033710.1
Carica_papaya-XP_021906984.1, Carica_papaya-XM_022051292.1
Carica_papaya-XP_021904292.1, Carica_papaya-XM_022048600.1
Carica_papaya-XP_021906686.1, Carica_papaya-XM_022050994.1
Carica_papaya-XP_021899087.1, Carica_papaya-XM_022043395.1
Carica_papaya-XP_021900179.1, Carica_papaya-XM_022044487.1
Carica_papaya-XP_021893895.1, Carica_papaya-XM_022038203.1
Carica_papaya-XP_021888986.1, Carica_papaya-XM_022033294.1
Carica_papaya-XP_021888987.1, Carica_papaya-XM_022033295.1
Carica_papaya-XP_021888989.1, Carica_papaya-XM_022033297.1
Carica_papaya-XP_021912446.1, Carica_papaya-XM_022056754.1
Carica_papaya-XP_021888802.1, Carica_papaya-XM_022033110.1
Carica_papaya-XP_021898230.1, Carica_papaya-XM_022042538.1
Carica_papaya-XP_021902166.1, Carica_papaya-XM_022046474.1
Carica_papaya-XP_021902168.1, Carica_papaya-XM_022046476.1
Carica_papaya-XP_021910063.1, Carica_papaya-XM_022054371.1
Carica_papaya-XP_021900677.1, Carica_papaya-XM_022044985.1
Carica_papaya-XP_021893390.1, Carica_papaya-XM_022037698.1
Carica_papaya-XP_021894089.1, Carica_papaya-XM_022038397.1
Carica_papaya-XP_021900906.1, Carica_papaya-XM_022045214.1
Carica_papaya-XP_021890774.1, Carica_papaya-XM_022035082.1
Carica_papaya-XP_021895091.1, Carica_papaya-XM_022039399.1
Carica_papaya-XP_021891624.1, Carica_papaya-XM_022035932.1
Carica_papaya-XP_021907216.1, Carica_papaya-XM_022051524.1
Carica_papaya-XP_021908235.1, Carica_papaya-XM_022052543.1
Carica_papaya-XP_021894175.1, Carica_papaya-XM_022038483.1
Carica_papaya-XP_021892106.1, Carica_papaya-XM_022036414.1
Carica_papaya-XP_021911504.1, Carica_papaya-XM_022055812.1
Carica_papaya-XP_021911822.1, Carica_papaya-XM_022056130.1
Carica_papaya-XP_021904671.1, Carica_papaya-XM_022048979.1
Carica_papaya-XP_021896085.1, Carica_papaya-XM_022040393.1
Carica_papaya-XP_021888833.1, Carica_papaya-XM_022033141.1
Carica_papaya-XP_021891883.1, Carica_papaya-XM_022036191.1
Carica_papaya-XP_021902313.1, Carica_papaya-XM_022046621.1
Carica_papaya-XP_021902314.1, Carica_papaya-XM_022046622.1
Carica_papaya-XP_021910979.1, Carica_papaya-XM_022055287.1
Carica_papaya-XP_021893580.1, Carica_papaya-XM_022037888.1
Carica_papaya-XP_021897924.1, Carica_papaya-XM_022042232.1
Carica_papaya-XP_021898818.1, Carica_papaya-XM_022043126.1
Carica_papaya-XP_021896942.1, Carica_papaya-XM_022041250.1
